,,,,,,,,,,SET EXP TIME [h],-1,Temp. Compensation for pH Calibration,FALSE,Temp. pH [C],37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Temp. Compensation for pO2 Calibration,FALSE,Temp. pO2 [C],37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELL No.,CONTENT,DESCRIPTION,CHANNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,READING ->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
,,,TIME [h] ->,0.00514,0.17166,0.33831,0.5051,0.67167,0.83833,1.00504,1.1717,1.33843,1.50515,1.67177,1.83846,2.00515,2.17177,2.33849,2.50521,2.67187,2.83845,3.00515,3.17182,3.3385,3.50521,3.67187,3.83861,4.00528,4.1719,4.33865,4.50528,4.6719,4.83859,5.00536,5.17207,5.33863,5.50527,5.67207,5.83876,6.00535,6.17202,6.33874,6.50541,6.67214,6.83875,7.0054,7.17217,7.33877,7.50545,7.67215,7.83876,8.00546,8.17213,8.33882,8.5055,8.67218,8.83892,9.0055,9.17222,9.33891,9.50556,9.67225,9.83887,10.00566,10.17228,10.33899,10.5057,10.67236,10.83902,11.00569,11.17232,11.33899,11.50573,11.67238,11.83918,12.00572,12.17242,12.33901,12.50582,12.6725,12.83901,13.00581,13.17249,13.33914,13.50577,13.6726,13.83916,14.00592,14.17251,14.33933,14.50592,14.67251,14.83924,15.00592,15.17264,15.33929,15.506,15.67259,15.83939,16.00599,16.17263,16.33931,16.50599,16.67268,16.83937,17.006,17.17278,17.33939,17.50599,17.6727,17.83952,18.00613,18.17275,18.33948,18.5061,18.67281,18.83947,19.00616,19.17286,19.33948,19.50624,19.6728,19.83956,20.00623,20.17291,20.33964,20.5062,20.67294,20.8397,21.00625,21.17296,21.33963,21.5063,21.67294,21.83961,22.00639,22.17303,22.33963,22.50638,22.67308,22.83974,23.00642,23.17316,23.33979,23.5065,23.67312,23.83977,24.00645,24.1731,24.33981,24.50646,24.67327,24.83978,25.00645,25.1732,25.33978,25.50664,25.67322,25.83993,26.00667,26.17321,26.3399,26.50661,26.67333,26.83997,27.00669,27.1733,27.34009,27.50675,27.67336,27.83999,28.00681,28.1734,28.34009,28.50681,28.67348,28.84004
A01,X1,,1,14.24,14.288,14.362,14.53,14.591,14.58,14.59,14.606,14.638,14.62,14.673,14.729,14.749,14.757,14.675,14.815,14.832,14.805,14.832,14.764,14.841,14.85,14.905,14.877,14.958,14.914,14.958,14.967,15.068,15.151,15.062,15.133,15.194,15.404,15.392,15.576,15.58,15.819,15.754,15.793,15.935,15.953,16.159,16.171,16.472,16.376,16.545,16.695,16.702,16.893,17.201,17.226,17.492,17.669,17.783,17.908,17.98,17.888,18.331,18.672,18.645,18.696,18.883,19.096,19.492,19.461,19.263,19.765,19.896,20.054,20.283,20.18,20.956,20.962,21.128,21.62,21.924,22.067,21.953,22.386,22.884,22.87,22.424,22.962,22.838,23.086,23.822,23.652,24.162,24.595,24.728,24.147,24.663,24.056,24.646,25.155,25.385,25.27,26.066,25.393,25.669,25.393,25.999,26.39,25.929,26.141,26.673,27.279,25.891,25.636,25.963,26.325,26.392,26.022,26.502,26.622,26.327,26.727,26.467,26.534,26.291,26.392,25.719,26.203,26.114,26.026,25.485,26.074,25.844,25.449,26.108,25.739,25.387,25.434,25.258,25.338,25.694,25.296,25.434,26.11,25.907,25.387,25.16,24.773,25.451,24.791,25.16,25.015,24.957,24.708,24.612,25.378,24.944,24.67,25.012,24.004,24.529,24.225,24.237,24.046,24.048,24.818,23.508,23.71,24.349,23.813,23.95,23.744,23.646,23.333,23.296,23.68,23.634,23.522
A02,X2,,1,14.463,14.569,14.673,14.687,14.802,14.766,14.859,14.85,14.936,14.92,15.001,15.003,15.134,15.17,15.115,15.201,15.247,15.33,15.302,15.511,15.45,15.514,15.625,15.598,15.594,15.69,15.705,15.77,15.789,15.955,16.114,16.158,16.278,16.431,16.64,17.073,17.104,17.426,17.914,17.985,18.489,19.365,19.913,20.138,20.917,21.76,22.958,23.296,24.526,25.103,26.079,26.989,28.193,28.903,29.998,30.854,31.777,32.281,33.446,34.181,33.883,34.007,34.527,33.897,33.669,35.096,35.255,34.846,34.672,34.015,34.091,35.212,33.856,34.264,34.817,36.015,33.994,34.388,34.893,35.059,34.989,34.443,34.753,35.093,34.119,33.898,35.278,34.581,34.422,34.864,34.36,33.106,34.512,34.236,33.394,33.953,33.809,34.126,34.388,34.023,34.298,33.444,34.023,33.843,33.782,33.512,33.616,34.036,33.74,34.319,33.892,33.354,33.775,33.85,33.995,33.547,33.877,34.478,33.919,34.257,34.429,34.436,34.457,35.029,34.837,34.498,34.534,35.051,35.333,35.231,35.133,34.926,35.508,34.602,35.72,35.318,35.354,35.651,35.624,36.09,35.888,35.785,36.635,35.695,36.493,36.426,37.298,37.024,36.952,37.117,36.891,36.986,37.389,37.656,37.505,37.776,37.693,37.914,38.28,37.882,38.26,38.363,38.45,38.862,39.242,39.171,39.289,39.583,39.254,39.757,39.658,39.781,39.909,39.971
A03,X3,,1,16.24,16.69,16.821,16.991,17.023,17.138,17.138,17.203,17.24,17.179,17.296,17.276,17.249,17.29,17.345,17.38,17.346,17.429,17.401,17.446,17.61,17.533,17.731,17.925,18.027,18.102,18.309,18.431,18.697,18.835,19.077,19.401,19.528,19.845,20.023,20.316,20.958,21.194,21.541,22.176,22.597,23.111,23.501,24.465,24.889,25.563,26.04,27.234,28.021,27.96,28.965,29.403,30.106,30.263,30.746,30.632,31.473,31.726,30.95,31.351,31.528,31.483,31.924,32.067,31.592,31.409,32.151,31.658,30.964,32.02,31.905,31.862,32.112,31.72,32.107,32.638,32.112,31.869,31.962,31.822,31.452,32.123,32.409,31.639,31.962,31.057,31.358,30.579,30.699,30.834,30.966,30.157,29.933,30.346,30.303,30.092,29.212,29.243,28.767,28.729,29.142,29.142,28.619,28.267,28.464,28.129,27.775,28.023,27.764,27.758,27.835,27.786,27.494,27.676,27.659,27.726,27.544,27.968,27.488,27.637,27.643,27.907,27.593,27.637,27.963,27.737,27.976,27.897,28.161,28.102,28.233,28.332,28.539,28.61,28.653,28.784,28.813,28.969,28.858,28.922,29.059,29.341,29.418,29.557,29.592,29.821,29.916,29.774,30.097,30.401,30.337,30.475,30.848,30.595,31.078,31.305,31.415,31.471,31.632,31.767,31.722,32.159,32.24,32.408,32.447,32.767,33.309,33.12,33.016,33.376,33.363,33.757,33.715,34.146
A04,X4,,1,12.735,12.805,12.965,13.116,13.163,13.114,13.169,13.118,13.174,13.15,13.197,13.196,13.184,13.215,13.298,13.297,13.341,13.396,13.424,13.52,13.512,13.578,13.603,13.631,13.686,13.75,13.656,13.83,13.877,13.822,13.872,13.997,14.028,13.989,14.005,14.246,14.138,14.296,14.315,14.46,14.519,14.621,14.796,14.84,15.083,15.321,15.629,15.724,15.925,16.31,16.535,16.948,17.187,17.808,18.032,18.379,18.895,19.468,20.079,20.586,21.25,21.775,22.455,23.226,24.089,24.561,25.416,25.864,26.509,28.225,28.723,31.087,30.617,30.89,31.222,32.361,33.219,34.167,33.262,33.371,34.547,33.698,33.981,34.098,35.086,34.174,33.926,34.416,33.953,35.03,34.25,34.732,34.678,33.712,35.05,35.029,34.525,34.76,33.175,33.857,34.243,34.243,33.444,32.904,32.845,33.042,32.321,32.85,33.906,32.389,31.827,31.314,30.772,31.7,31.598,31.56,31.305,31.057,30.607,31.278,30.595,30.607,30.487,30.644,30.889,29.945,30.189,30.079,29.182,29.483,30.221,30.208,30.365,29.604,29.371,29.308,29.006,28.941,29.355,29.584,29.916,29.48,29.584,29.059,29.288,29.738,30.165,29.968,30.18,29.711,29.922,29.783,30.515,30.069,30.247,30.724,29.839,30.586,30.331,30.466,30.725,31.189,31.131,31.078,31.283,31.353,31.786,31.844,31.492,32.1,31.976,32.23,32.549,32.953
A05,X5,,1,13.13,13.419,13.509,13.718,13.851,13.807,13.893,13.93,13.879,13.885,13.99,14.018,14.09,14.041,14.262,14.318,14.252,14.335,14.308,14.433,14.425,14.491,14.517,14.628,14.626,14.665,14.791,14.8,15.068,15.151,15.478,15.687,16.167,16.653,17.167,17.766,18.379,19.283,19.991,20.844,21.765,22.473,23.64,25.464,25.722,26.645,29.232,29.73,31.378,32.343,33.154,33.647,35.428,35.894,36.618,36.842,38.039,38.521,37.301,37.815,38.094,38.251,38.874,38.387,36.991,38.422,38.664,37.785,38.269,38.169,38.657,39.53,37.62,38.882,38.716,37.565,38.008,36.16,36.414,35.751,36.786,35.769,36.932,35.839,35.363,36.022,34.671,34.747,35.277,35.223,35.74,34.291,36.14,35.091,34.857,34.56,34.773,35.698,34.553,34.629,34.381,34.491,34.491,34.699,35.573,34.367,35.214,34.312,36.412,35.063,35.186,35.945,36.502,36,35.758,36.416,35.37,35.967,36.127,36.794,37.188,36.695,37.213,37.263,37.293,37.258,38.159,37.592,38.449,38.685,38.721,37.85,38.882,39.269,39.943,39.151,39.163,39.573,41.119,40.612,40.782,41.399,41.501,41.473,41.71,42.755,41.501,41.507,42.534,42.866,42.45,42.887,43.514,43.027,43.543,43.417,43.943,44.247,43.654,43.97,44.715,43.986,46.018,44.402,45.094,45.242,45.021,45.546,44.743,46.333,46.924,45.861,46.741,46.656
A06,X6,,1,12.76,13.061,13.198,13.43,13.401,13.38,13.518,13.47,13.445,13.504,13.552,13.497,13.596,13.573,13.573,13.601,13.672,13.617,13.59,13.631,13.733,13.772,13.797,13.88,14.018,14.138,14.237,14.523,14.514,14.847,15.173,15.438,15.778,16.181,16.529,16.962,17.575,17.814,18.496,18.707,19.655,20.003,20.553,21.359,21.944,22.732,22.736,23.573,24.498,25.048,26.523,26.351,27.555,27.655,28.392,30.3,31.196,31.532,32.447,32.599,32.802,33.369,34.388,33.73,34.527,34.818,36.142,34.319,34.893,35.15,34.451,36.07,34.381,34.043,34.236,34.16,33.219,34.472,34.036,34.451,33.027,33.007,33.098,33.159,33.538,32.933,32.214,32.07,32.188,32.628,32.456,31.728,33.05,31.477,30.635,31.471,31.772,31.808,30.751,30.273,30.686,29.584,29.887,29.619,30.861,30.558,29.869,28.796,29.278,29.054,28.413,27.979,27.962,28.447,27.907,27.863,28.263,26.699,27.709,27.334,27.257,26.502,26.601,26.451,26.362,26.412,26.62,26.406,26.865,26.693,26.412,26.208,26.604,26.676,26.887,26.771,26.909,26.732,26.815,27.13,27.621,27.212,27.649,27.124,27.853,27.527,27.649,27.228,28.412,27.721,27.461,28.203,27.91,28.629,28.225,28.788,29.009,28.622,28.641,29.027,29.09,28.807,28.997,29.527,29.286,29.385,29.654,29.569,29.995,29.714,30.506,30.426,30.994,30.068
A07,X7,,1,12.932,13.419,13.767,14.006,13.983,14.1,14.161,14.227,14.231,14.212,14.318,14.291,14.337,14.372,14.344,14.456,14.501,14.473,14.501,14.543,14.702,14.629,14.656,14.739,14.682,14.748,14.819,14.967,14.985,15.124,15.173,15.355,15.472,15.626,15.863,16.297,16.633,16.872,16.779,17.43,17.711,18.311,18.689,18.918,19.306,19.956,20.349,20.855,21.446,21.553,22.556,22.829,23.674,24.077,24.902,25.116,25.793,26.402,26.818,27.578,27.4,27.96,28.297,29.102,29.045,29.468,29.961,29.08,28.114,29.361,29.719,28.679,29.205,29.175,29.258,29.399,30.174,29.432,29.474,30.438,29.102,29.278,29.32,28.903,29.031,28.161,29.923,29.834,29.899,28.819,28.896,28.833,28.112,28.857,28.289,28.961,27.752,28.195,28.05,27.902,27.323,27.543,26.854,26.997,26.783,27.521,26.921,26.727,27.35,26.573,27.367,26.931,26.557,26.187,26.254,26.181,26.659,26.506,26.191,26.286,25.298,25.483,25.36,25.458,25.617,25.667,24.987,25.025,25.127,25.09,25.06,24.553,24.778,24.937,25.313,24.704,25.17,24.633,24.743,24.952,24.746,24.751,24.912,24.856,24.651,24.736,24.69,25.236,24.819,24.929,25.055,25.156,24.917,25.584,25.179,25.027,25.387,25.193,25.4,25.568,25.239,25.317,25.864,25.095,25.348,25.587,26.027,25.741,25.698,26.246,26.207,26.012,25.578,25.88
A08,X8,,1,13.623,13.879,13.974,14.111,14.089,14.18,14.188,14.227,14.204,14.266,14.154,14.237,14.282,14.262,14.344,14.29,14.391,14.391,14.446,14.543,14.592,14.574,14.6,14.684,14.709,14.748,14.736,14.856,14.764,14.874,14.951,14.939,14.972,15.043,15.114,15.105,15.191,15.293,15.367,15.598,15.685,15.897,16.131,16.282,16.528,16.82,17.073,17.388,17.728,18.113,18.561,19.14,19.461,20.027,20.857,21.401,21.333,22.297,23.074,24.026,24.768,25.353,26.193,26.524,26.94,27.971,29.074,29.523,29.58,30.137,31.213,31.253,30.977,31.222,31.305,31.198,31.032,31.647,31.824,31.047,31.092,30.991,31.085,30.478,30.828,31.14,31.331,31.325,31.554,31.055,31.242,31.673,31.312,31.726,31.849,32.161,31.745,31.477,31.109,30.604,31.21,30.383,30.604,31.027,30.585,30.53,30.806,30.395,30.656,29.991,29.652,30.074,30.552,30.57,29.532,29.988,29.341,29.982,29.834,29.568,30.098,30.359,29.605,29.954,29.205,29.061,28.861,29.527,29.816,29.677,29.669,29.877,29.092,29.687,29.813,28.949,28.813,29.328,28.692,29.335,29.197,29.424,29.335,29.446,29.316,28.633,29.004,29.58,29.628,29.683,30.254,29.866,30.016,29.82,29.61,30.254,30.226,29.729,30.026,30.162,30.919,30.358,30.632,30.718,30.506,30.66,30.678,30.79,31.159,31.323,31.31,31.592,31.91,31.788
B01,X9,,1,16.141,16.69,16.743,16.938,16.864,16.845,16.897,17.013,16.969,16.989,17.105,17.166,17.276,17.18,17.263,17.297,17.374,17.456,17.401,17.502,17.499,17.588,17.537,17.62,17.723,17.686,17.755,17.849,17.783,17.949,18.108,18.043,18.167,18.235,18.387,18.293,18.407,18.451,18.634,18.763,18.766,19.005,19.051,19.14,19.361,19.623,19.766,19.94,20.336,20.665,20.753,21.053,21.262,21.608,22.104,22.482,22.635,22.99,23.129,23.666,23.992,24.16,24.532,24.501,24.919,25.033,25.499,25.365,25.651,25.511,25.319,25.468,25.745,25.553,25.525,25.662,25.745,25.722,25.382,25.79,25.592,25.77,25.569,25.781,25.63,25.458,25.755,25.805,25.403,25.479,25.556,25.388,25.574,25.491,25.336,25.458,25.275,24.994,24.882,24.814,25.145,24.731,24.786,24.457,24.634,24.651,24.523,24.907,24.431,24.34,24.421,24.726,24.629,24.643,24.436,24.718,24.806,24.658,25.087,24.714,24.801,24.959,24.864,25.21,25.147,25.253,25.624,25.688,25.569,25.504,25.556,26.07,25.968,26.014,26.362,26.468,26.495,26.345,26.787,26.964,26.736,27.157,27.179,27.345,27.383,27.389,27.483,28.031,27.969,27.831,27.931,27.871,28.049,28.131,28.225,28.235,28.263,28.456,28.225,28.64,28.674,28.752,28.664,28.641,28.759,28.83,29.072,28.959,28.83,29.131,29.119,29.149,29.411,29.541
B02,X10,,1,14.882,15.259,15.32,15.394,15.41,15.512,15.529,15.58,15.532,15.519,15.574,15.496,15.546,15.611,15.666,15.725,15.882,15.799,15.882,15.926,16.059,15.929,16.041,16.124,16.175,16.134,16.287,16.214,16.37,16.37,16.308,16.463,16.5,16.514,16.584,16.574,16.716,16.706,16.64,16.736,16.823,16.979,16.937,17.059,17.194,17.236,17.434,17.499,17.59,17.864,18.117,18.363,18.546,18.64,19.112,19.294,19.615,19.968,20.411,20.919,20.972,21.275,21.624,21.729,21.984,22.87,22.921,23.12,23.354,23.766,23.991,24.084,23.53,23.893,24.142,24.194,24.277,24.31,24.165,24.185,24.128,24.472,23.914,24.344,24.248,24.465,24.126,24.232,24.438,24.319,23.928,24.34,24.277,24.194,24.701,24.134,24.146,24.029,24.33,24.455,24.345,24.373,24.455,24.706,24.413,24.209,24.248,24.52,24.348,24.202,24.421,24.175,24.408,24.836,24.353,24.636,24.778,24.631,24.811,24.465,24.443,24.684,24.588,25.182,25.12,25.584,25.374,25.328,25.458,25.504,25.639,25.877,25.885,25.765,26.058,26.275,26.329,26.483,26.4,26.551,26.571,26.88,26.819,26.985,27.08,27.03,27.151,27.145,27.721,27.638,27.378,27.539,27.91,27.937,27.671,27.82,28.069,28.65,28.447,28.667,28.702,28.53,28.553,29.056,28.759,28.553,28.602,28.82,29.329,29.048,29.286,29.038,29.3,29.209
B03,X11,,1,13.895,14.288,14.414,14.504,14.591,14.633,14.671,14.768,14.665,14.784,14.837,14.866,14.859,14.95,14.895,15.09,15.109,15.109,15.247,15.262,15.339,15.404,15.57,15.653,15.787,15.912,16.093,16.186,16.509,16.841,16.862,17.212,17.528,17.819,18.692,19.235,19.793,20.502,21.015,21.594,22.348,23.222,23.779,24.049,24.417,24.813,25.346,25.348,25.33,25.436,25.663,25.186,24.977,25.492,25.234,25.338,25.461,25.348,25.043,25.525,25.627,25.519,25.722,25.416,25.888,25.892,25.72,25.476,25.873,25.705,25.956,25.606,25.606,25.94,25.608,25.772,26.077,25.639,26.349,25.679,25.924,26.019,26.148,26.361,26.128,26.037,26.417,26.881,26.644,26.638,26.909,26.711,26.705,27.036,26.964,27.389,27.339,27.753,27.361,27.543,27.957,28.067,28.067,28.294,28.408,28.46,28.574,28.354,28.893,29.357,29.652,29.66,29.477,30.239,30.166,30.871,30.448,30.699,31.159,31.113,31.891,31.461,31.728,32.161,32.021,31.821,32.541,32.952,32.492,33.656,33.118,33.326,33.711,33.884,34.146,34.105,34.278,34.657,35.016,34.767,34.976,35.453,35.888,35.722,35.775,36.233,36.303,36.886,36.62,37.504,36.919,37.401,37.527,37.711,37.892,38.357,37.693,38.44,38.585,38.712,39.064,39.527,39.642,39.111,39.991,39.836,39.954,40.221,40.418,40.368,40.545,41.003,41.075,40.942
