"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO01053"	0.85231	0.5449	NA	0.50527	0.90189	NA	0.80792	0.3731	NA
"ECO01100"	-0.44934	NA	0.67091	0.45806	0.96383	NA	-0.45731	NA	0.37426
"ECO01110"	-0.34364	NA	0.86136	-0.35854	NA	0.84831	-0.50711	NA	0.28132
"ECO01120"	0.37401	0.89512	NA	-0.43089	NA	0.71774	-0.51064	NA	0.31918
"ECO01130"	0.37921	0.90249	NA	0.57913	0.78981	NA	-0.51687	NA	0.34145
"ECO01200"	0.50865	0.75924	NA	-0.42744	NA	0.80641	-0.49438	NA	0.57659
"ECO01210"	-0.61564	NA	0.65089	-0.60511	NA	0.68571	-0.42948	NA	0.83053
"ECO01212"	-0.73305	NA	0.45565	0.69367	0.97738	NA	0.52299	0.66629	NA
"ECO01220"	0.54981	0.91964	NA	-0.74522	NA	0.45227	0.29876	1	NA
"ECO01230"	-0.53268	NA	0.62583	-0.36309	NA	0.91005	-0.60292	NA	0.13101
"ECO01501"	-0.94746	NA	0.14745	-0.68467	NA	0.57355	0.79643	0.45075	NA
"ECO01502"	0.48278	0.95472	NA	0.64071	0.93936	NA	-0.61569	NA	0.70336
"ECO01503"	0.58002	0.75044	NA	-0.3731	NA	0.94488	0.41848	0.82903	NA
"ECO02010"	-0.33722	NA	0.88058	0.45916	0.94117	NA	0.42016	0.72579	NA
"ECO02020"	-0.71751	NA	0.15135	-0.56648	NA	0.46941	0.67499	0.53847	NA
"ECO02024"	-0.59233	NA	0.61145	-0.3897	NA	0.91086	-0.72304	NA	0.046133
"ECO02030"	0.75248	0.5389	NA	-0.44259	NA	0.90399	-0.72783	NA	0.29165
"ECO02040"	0.77341	0.58734	NA	-0.68745	NA	0.40912	-0.66816	NA	0.26112
"ECO02060"	-0.5595	NA	0.66114	0.66781	0.86352	NA	0.69897	0.39803	NA
"ECO03010"	-0.85258	NA	0.1615	-0.38669	NA	0.90508	-0.72809	NA	0.042203
"ECO03018"	-0.76599	NA	0.45566	0.84024	0.60462	NA	-0.59071	NA	0.67232
"ECO03020"	-0.88581	NA	0.592	0.98241	0.57928	NA	-0.95008	NA	0.25153
"ECO03030"	0.48993	0.92266	NA	0.87142	0.47862	NA	0.52621	0.69752	NA
"ECO03060"	-0.65252	NA	0.65876	0.55565	0.95481	NA	-0.46322	NA	0.83223
"ECO03070"	-0.43875	NA	0.84474	0.60462	0.95273	NA	0.38468	0.90127	NA
"ECO03410"	-0.65419	NA	0.64797	0.80144	0.8234	NA	-0.47104	NA	0.82746
"ECO03420"	-0.68967	NA	0.67869	0.58524	0.92391	NA	-0.57932	NA	0.74398
"ECO03430"	0.53085	0.91486	NA	0.81939	0.54764	NA	0.40279	0.91121	NA
"ECO03440"	0.43727	0.92364	NA	0.67803	0.96106	NA	0.40901	0.88414	NA
"ECO04122"	-0.49107	NA	0.83827	0.69203	0.93738	NA	-0.6892	NA	0.46409
"ACCB_REP"	0.69099	0.89712	NA	-0.82917	NA	0.67798	-0.53924	NA	0.92306
"ACRR_REP"	0.87225	0.54433	NA	0.58881	0.93437	NA	-0.40982	NA	0.94478
"ADA_POS"	-0.58229	NA	0.85677	-0.73583	NA	0.70393	-0.81619	NA	0.58859
"ADA_REP"	0.43462	0.99054	NA	-0.56648	NA	0.92174	-0.65007	NA	0.81466
"ADIY_POS"	0.48783	0.9562	NA	-0.50854	NA	0.90637	-0.96168	NA	0.055241
"AGAR_REP"	-0.68444	NA	0.67941	0.52167	0.88148	NA	0.43657	0.93862	NA
"ALLR_REP"	-0.34226	NA	0.99437	0.42558	0.92614	NA	-0.28869	NA	0.99029
"ALLS_POS"	0.80896	0.78747	NA	-0.47636	NA	0.96935	0.80812	0.61046	NA
"ALSR_REP"	-0.55607	NA	0.86783	0.73961	0.93345	NA	0.87752	0.31748	NA
"APPY_POS"	0.60216	0.90843	NA	-0.72147	NA	0.67058	-0.36816	NA	0.96985
"ARAC_POS"	0.49471	0.93275	NA	0.76993	0.97177	NA	0.68683	0.53103	NA
"ARAC_REP"	0.46984	0.95886	NA	0.6975	0.93534	NA	0.79485	0.35551	NA
"ARCA_POS"	-0.40631	NA	0.85677	-0.26175	NA	0.97277	-0.48406	NA	0.69401
"ARCA_REP"	0.41663	0.8925	NA	0.33118	0.93036	NA	0.40842	0.75137	NA
"ARGP_POS"	-0.51414	NA	0.84743	-0.7027	NA	0.58485	0.78816	0.39399	NA
"ARGR_POS"	-0.33325	NA	1	-0.82629	NA	0.53584	0.72547	0.59512	NA
"ARGR_REP"	-0.43936	NA	0.8501	0.86972	0.29264	NA	-0.83864	NA	0.0084571
"ARSR_REP"	-0.71367	NA	0.778	0.55194	0.89492	NA	-0.59453	NA	0.83575
"ASCG_REP"	0.82487	0.61634	NA	-0.41019	NA	0.98453	0.97422	0.41707	NA
"ASNC_REP"	0.78145	0.77986	NA	0.82491	0.96202	NA	0.5577	0.91228	NA
"ATOC_POS"	0.40192	0.99529	NA	0.52947	0.89912	NA	0.55982	0.88082	NA
"BAER_POS"	0.88771	0.51048	NA	0.60319	0.94693	NA	0.69025	0.5543	NA
"BASR_POS"	-0.84988	NA	0.39894	-0.64853	NA	0.70498	0.79554	0.3541	NA
"BASR_REP"	0.93588	0.57554	NA	0.67233	0.93734	NA	0.93147	0.43009	NA
"BETI_REP"	0.89524	0.58163	NA	0.92147	0.73022	NA	0.93487	0.315	NA
"BIRA_REP"	0.9336	0.54369	NA	-0.65032	NA	0.80201	-0.30228	NA	0.98454
"BLUR_REP"	0.8036	0.70395	NA	0.55462	0.89414	NA	0.72116	0.6701	NA
"BOLA_DUAL"	-0.29955	NA	1	-0.91897	NA	0.5116	0.72937	0.69577	NA
"CADC_POS"	-0.72255	NA	0.76204	0.74082	0.96901	NA	-0.56259	NA	0.8633
"CAIF_POS"	-0.71844	NA	0.67965	0.69535	0.95594	NA	-0.67312	NA	0.64435
"CBL_POS"	0.3838	0.98203	NA	0.42453	0.92271	NA	-0.7202	NA	0.58411
"CDAR_POS"	-0.35193	NA	0.99675	0.60617	0.99515	NA	0.72126	0.47646	NA
"CHBR_POS"	-0.74121	NA	0.65726	-0.46034	NA	0.94009	-0.31896	NA	0.99247
"CHBR_REP"	-0.74121	NA	0.65726	-0.46034	NA	0.94009	-0.31896	NA	0.99247
"CPXR_POS"	0.58047	0.69953	NA	0.49675	0.94431	NA	-0.31894	NA	0.93863
"CPXR_REP"	-0.94018	NA	0.18817	-0.85609	NA	0.18671	0.919	0.44696	NA
"CRA_POS"	-0.40425	NA	0.91594	-0.63129	NA	0.64789	0.64076	0.42481	NA
"CRA_REP"	0.61078	0.58864	NA	0.4757	0.92781	NA	-0.60886	NA	0.32994
"CREB_POS"	0.91721	0.61923	NA	-0.98272	NA	0.44224	0.44981	1	NA
"CREB_REP"	-0.75811	NA	0.71026	0.73427	0.97441	NA	0.93264	0.34861	NA
"CRP_DUAL"	0.70019	0.56417	NA	-0.48107	NA	0.8258	-0.50346	NA	0.71579
"CRP_POS"	0.47603	0.72781	NA	0.44252	0.9805	NA	0.74884	0.44535	NA
"CRP_REP"	-0.45097	NA	0.75141	-0.49796	NA	0.6923	-0.57482	NA	0.25762
"CSGD_POS"	-0.84794	NA	0.33407	-0.83375	NA	0.31957	0.79183	0.38978	NA
"CSGD_REP"	-0.41572	NA	0.92541	0.78322	0.71524	NA	-0.83433	NA	0.10525
"CSIR_REP"	0.85672	0.5777	NA	-0.94698	NA	0.34696	0.45759	0.9508	NA
"CSPA_POS"	-0.78199	NA	0.71003	-0.9131	NA	0.51342	0.6906	0.74791	NA
"CUER_POS"	-0.94263	NA	0.60294	-0.70878	NA	0.80127	-0.86061	NA	0.59639
"CUER_REP"	-0.74068	NA	0.67784	0.76611	0.96119	NA	-0.63964	NA	0.71338
"CUSR_POS"	-0.55496	NA	0.79701	0.57304	0.93297	NA	-0.8439	NA	0.15328
"CYNR_POS"	0.56047	0.95813	NA	-0.51659	NA	0.94145	0.67804	0.72832	NA
"CYSB_POS"	-0.69145	NA	0.54945	0.49361	0.87861	NA	-0.7978	NA	0.093873
"CYSB_REP"	-0.27866	NA	1	-0.56861	NA	0.84699	-0.39588	NA	0.95857
"CYTR_REP"	0.44174	0.95878	NA	0.66667	0.93742	NA	0.56444	0.66843	NA
"DAN_POS"	0.42597	0.97735	NA	0.60575	0.8956	NA	-0.48423	NA	0.93101
"DCUR_POS"	-0.65026	NA	0.74457	0.60105	0.92544	NA	-0.43716	NA	0.94182
"DEOR_REP"	0.37295	0.98839	NA	0.62749	0.94754	NA	-0.70577	NA	0.64927
"DHAR_POS"	-0.84968	NA	0.65723	0.57801	0.88144	NA	-0.83606	NA	0.58817
"DICA_REP"	0.5555	0.95494	NA	-0.64676	NA	0.82893	0.72388	0.65483	NA
"DINJ-YAFQ_REP"	-0.80733	NA	0.65539	0.63899	0.91242	NA	-0.79848	NA	0.63017
"DNAA_DUAL"	0.92212	0.61751	NA	0.80148	0.94828	NA	0.82515	0.52216	NA
"DNAA_POS"	-0.85583	NA	0.62004	0.96037	0.73349	NA	-0.72205	NA	0.69071
"DNAA_REP"	0.56206	0.89709	NA	0.85042	0.81844	NA	0.41558	0.94292	NA
"DPIA_POS"	-0.33028	NA	0.9955	0.78119	0.93996	NA	0.81531	0.31356	NA
"DSDC_POS"	-0.55575	NA	0.91875	0.58087	0.89381	NA	0.92273	0.43165	NA
"EBGR_REP"	0.8312	0.75488	NA	0.51968	0.92707	NA	0.84926	0.54275	NA
"ENVR_REP"	-0.86952	NA	0.65771	0.89502	0.96751	NA	-0.71949	NA	0.71818
"ENVY_POS"	-0.99094	NA	0.48552	-0.9936	NA	0.41015	0.97389	0.34497	NA
"EVGA_POS"	0.80929	0.45323	NA	-0.82544	NA	0.26719	-0.78632	NA	0.18962
"EXUR_REP"	-0.66237	NA	0.70732	0.68843	0.94695	NA	0.77001	0.42597	NA
"FABR_REP"	-0.45887	NA	1	0.70279	0.99184	NA	0.93052	0.42738	NA
"FADR_POS"	-0.73601	NA	0.60752	0.72792	0.96612	NA	0.3304	1	NA
"FADR_REP"	-0.80962	NA	0.46842	-0.39525	NA	0.96245	0.69237	0.51335	NA
"FEAR_POS"	0.69795	0.90459	NA	-0.77036	NA	0.71766	0.75776	0.67297	NA
"FHLA_POS"	0.23658	1	NA	0.55443	0.97059	NA	-0.53905	NA	0.68267
"FIS_DUAL"	-0.82743	NA	0.67669	-0.99705	NA	0.40127	0.90418	0.46951	NA
"FIS_POS"	0.43173	0.8923	NA	0.78919	0.25571	NA	-0.38545	NA	0.82261
"FIS_REP"	0.4005	0.90698	NA	-0.49669	NA	0.70904	-0.4108	NA	0.72589
"FLHDC_POS"	0.49355	0.83321	NA	-0.56363	NA	0.57899	-0.41372	NA	0.74347
"FLHDC_REP"	-0.61821	NA	0.84419	0.94564	0.81876	NA	0.93182	0.31886	NA
"FLIZ_REP"	0.71723	0.58595	NA	-0.92176	NA	0.085375	-0.80055	NA	0.10624
"FNR_DUAL"	0.83217	0.50092	NA	0.34452	0.96829	NA	-0.58524	NA	0.72012
"FNR_POS"	-0.59724	NA	0.39379	-0.591	NA	0.36645	-0.57214	NA	0.13456
"FNR_REP"	0.51802	0.75505	NA	0.41016	0.87012	NA	-0.52281	NA	0.46904
"FUCR_POS"	0.34233	1	NA	0.61531	0.96377	NA	0.82004	0.33943	NA
"FUR_DUAL"	-0.61836	NA	0.81124	-0.99253	NA	0.25854	0.92126	0.36687	NA
"FUR_POS"	-0.9648	NA	0.16395	-0.86373	NA	0.21955	0.92022	0.40537	NA
"FUR_REP"	0.3914	0.89709	NA	0.63646	0.75524	NA	-0.58784	NA	0.21245
"GADE_POS"	0.5514	0.85264	NA	-0.66315	NA	0.50711	-0.86104	NA	0.0097941
"GADE-RCSB_POS"	0.92018	0.49246	NA	-0.84969	NA	0.4093	-0.90759	NA	0.10857
"GADW_DUAL"	0.94539	0.44458	NA	-0.96284	NA	0.2368	-0.98674	NA	0.049163
"GADW_POS"	0.96248	0.51828	NA	-0.97491	NA	0.38226	-0.98519	NA	0.2505
"GADW_REP"	0.52175	0.96275	NA	-0.94451	NA	0.38233	-0.70193	NA	0.7108
"GADX_DUAL"	0.9475	0.53728	NA	-0.98935	NA	0.34902	-0.98712	NA	0.25694
"GADX_POS"	0.61041	0.74479	NA	-0.73113	NA	0.44058	-0.90324	NA	0.0098114
"GADX_REP"	-0.83531	NA	0.65026	0.6314	0.88827	NA	-0.50477	NA	0.93345
"GALR_POS"	-0.90017	NA	0.54456	0.92643	0.79101	NA	-0.95513	NA	0.24444
"GALR_REP"	-0.83361	NA	0.39694	0.83521	0.74243	NA	-0.49361	NA	0.828
"GALS_POS"	-0.90017	NA	0.54456	0.92643	0.79101	NA	-0.95513	NA	0.24444
"GALS_REP"	-0.83361	NA	0.39694	0.83521	0.74243	NA	-0.49361	NA	0.828
"GATR_REP"	-0.66799	NA	0.78455	-0.79767	NA	0.60329	0.89021	0.30509	NA
"GCVA_DUAL"	-0.88388	NA	0.62116	0.59809	0.87797	NA	-0.78742	NA	0.64898
"GCVA_REP"	-0.87993	NA	0.60369	0.60242	0.8741	NA	-0.82269	NA	0.57372
"GLCC_POS"	-0.75866	NA	0.65413	0.74435	0.95966	NA	0.72168	0.56519	NA
"GLPR_REP"	0.44744	0.94312	NA	0.71908	0.99394	NA	0.69705	0.52164	NA
"GNTR_REP"	0.6481	0.76499	NA	0.52611	0.86986	NA	0.78716	0.34932	NA
"GUTM_POS"	-0.58931	NA	0.84323	0.61062	0.91352	NA	-0.42735	NA	0.94861
"GUTR_REP"	-0.58931	NA	0.84323	0.61062	0.91352	NA	-0.42735	NA	0.94861
"HCAR_POS"	0.76005	0.73699	NA	0.56721	0.87827	NA	0.62343	0.72978	NA
"HDFR_POS"	-0.94182	NA	0.53167	0.95085	0.83585	NA	-0.93918	NA	0.35079
"HDFR_REP"	0.88661	0.65515	NA	-0.59297	NA	0.89584	0.75687	0.65907	NA
"HIPAB_REP"	-0.62421	NA	0.80571	-0.39965	NA	0.98983	-0.38132	NA	0.96979
"HIPB_REP"	-0.61174	NA	0.79502	-0.43282	NA	0.96281	0.90001	0.38062	NA
"H-NS_POS"	0.36835	0.95997	NA	-0.74477	NA	0.24572	-0.32989	NA	0.93952
"H-NS_REP"	0.47039	0.82775	NA	-0.55728	NA	0.51017	-0.58444	NA	0.2101
"HU_REP"	-0.71506	NA	0.65082	0.86849	0.80013	NA	-0.80657	NA	0.38746
"HYFR_POS"	0.61806	0.84291	NA	0.55324	0.92667	NA	0.31254	1	NA
"HYPT_POS"	0.40501	0.97924	NA	0.36166	0.97277	NA	-0.58265	NA	0.74017
"HYPT_REP"	-0.72147	NA	0.6954	-0.74093	NA	0.67927	0.34852	0.98683	NA
"ICLR_REP"	-0.77364	NA	0.68074	-0.93377	NA	0.42041	0.9378	0.33167	NA
"IDNR_POS"	0.82602	0.6214	NA	0.55114	0.8858	NA	0.69301	0.66621	NA
"IDNR_REP"	0.78364	0.83695	NA	0.78584	0.95141	NA	0.91904	0.43228	NA
"IHF_DUAL"	-0.81635	NA	0.66658	-0.96283	NA	0.4023	0.98903	0.36672	NA
"IHF_POS"	-0.77401	NA	0.20089	-0.4553	NA	0.7156	0.78523	0.55883	NA
"IHF_REP"	-0.88297	NA	0.020869	-0.69568	NA	0.23004	0.82257	0.70176	NA
"ISCR_POS"	0.88967	0.46568	NA	0.80546	0.73642	NA	0.80529	0.35395	NA
"ISCR_REP"	-0.4038	NA	0.91554	-0.3677	NA	0.96567	-0.5847	NA	0.64445
"KDGR_REP"	0.72108	0.91954	NA	-0.91311	NA	0.52053	-0.7175	NA	0.71749
"KDPE_POS"	0.90936	0.61129	NA	-0.6981	NA	0.78312	-0.90367	NA	0.44988
"LACI_REP"	0.67442	0.9208	NA	0.62994	0.88601	NA	0.73328	0.66508	NA
"LEUO_POS"	-0.59561	NA	0.7102	-0.64607	NA	0.6641	0.63643	0.48659	NA
"LEXA_REP"	-0.46097	NA	0.81513	0.4679	0.92915	NA	-0.47771	NA	0.69044
"LLDR_POS"	0.91959	0.58381	NA	-0.53418	NA	0.92687	0.90803	0.39846	NA
"LLDR_REP"	0.91959	0.58381	NA	-0.53418	NA	0.92687	0.90803	0.39846	NA
"LRHA_POS"	-0.77476	NA	0.71993	0.78217	0.94528	NA	0.692	0.74957	NA
"LRHA_REP"	0.88661	0.65515	NA	-0.59297	NA	0.89584	0.75687	0.65907	NA
"LRP_POS"	-0.59048	NA	0.65899	-0.47732	NA	0.82307	0.4244	0.81624	NA
"LRP_REP"	-0.48088	NA	0.80465	-0.4966	NA	0.80312	-0.76453	NA	0.048185
"LSRR_REP"	0.41069	0.96935	NA	-0.8827	NA	0.32801	0.72273	0.47582	NA
"MALI_REP"	-0.67813	NA	0.81583	-0.76779	NA	0.69658	0.71913	0.6578	NA
"MALT_POS"	-0.66953	NA	0.68634	0.71689	0.97963	NA	0.81134	0.36311	NA
"MARA_POS"	0.88272	0.56782	NA	-0.69822	NA	0.4232	-0.72513	NA	0.17425
"MARA_REP"	0.59662	0.89237	NA	-0.9449	NA	0.2414	-0.96244	NA	0.075785
"MARR_REP"	0.98514	0.54389	NA	-0.7734	NA	0.68615	-0.8298	NA	0.59786
"MATA_POS"	-0.91644	NA	0.6286	-0.50656	NA	0.94448	0.54498	0.93681	NA
"MATA_REP"	0.81495	0.58134	NA	-0.96149	NA	0.23271	-0.80569	NA	0.47049
"MAZE_REP"	-0.41446	NA	0.99425	0.54225	0.90153	NA	0.52535	0.93443	NA
"MAZE-MAZF_REP"	-0.41446	NA	0.99425	0.54225	0.90153	NA	0.52535	0.93443	NA
"MCBR_POS"	0.89029	0.5915	NA	-0.92075	NA	0.46052	-0.821	NA	0.61082
"MELR_POS"	-0.48588	NA	0.95618	0.71568	0.9778	NA	0.35418	0.98069	NA
"MELR_REP"	-0.48588	NA	0.95618	0.71568	0.9778	NA	0.35418	0.98069	NA
"METJ_REP"	0.73021	0.6117	NA	0.73361	0.96273	NA	-0.59564	NA	0.68181
"METR_POS"	-0.80719	NA	0.6652	0.84663	0.95554	NA	-0.69243	NA	0.72839
"MHPR_POS"	0.64128	0.90832	NA	0.4881	0.92258	NA	0.593	0.75462	NA
"MLC_REP"	-0.79707	NA	0.53083	-0.74623	NA	0.56844	0.78902	0.30947	NA
"MLRA_POS"	-0.83179	NA	0.54067	-0.46009	NA	0.93654	0.74222	0.46622	NA
"MNGR_REP"	0.65899	0.88723	NA	0.67831	0.9606	NA	-0.44001	NA	0.96019
"MNTR_REP"	-0.41755	NA	1	-0.88515	NA	0.50715	-0.73881	NA	0.68666
"MODE_POS"	-0.4787	NA	0.80224	0.59221	0.93229	NA	-0.23344	NA	0.98659
"MODE_REP"	-0.79019	NA	0.43077	0.86663	0.54624	NA	-0.88154	NA	0.047332
"MPRA_REP"	0.9104	0.52625	NA	0.87327	0.75533	NA	0.9573	0.37152	NA
"MQSA_REP"	-0.67227	NA	0.82233	-0.3193	NA	0.9813	0.63284	0.75177	NA
"MRAZ_REP"	0.40544	0.94595	NA	0.51932	0.88106	NA	-0.41953	NA	0.89042
"MTLR_REP"	-0.81693	NA	0.67135	0.92719	0.75376	NA	-0.71911	NA	0.73409
"MURR_REP"	-0.75836	NA	0.74604	-0.68606	NA	0.81438	0.77961	0.66178	NA
"NAC_POS"	0.64262	0.77143	NA	-0.91681	NA	0.18007	0.63045	0.57974	NA
