"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO00670"	-0.79663	NA	0.1622	0.57022	0.9461	NA	-0.67331	NA	0.47346
"ECO00680"	0.37956	0.86157	NA	-0.39197	NA	0.87508	-0.34391	NA	0.96509
"ECO00730"	-0.47919	NA	0.95395	0.53193	0.96664	NA	0.66206	0.52077	NA
"ECO00740"	0.7359	0.55726	NA	0.85587	0.42535	NA	0.49773	0.8334	NA
"ECO00750"	-0.56538	NA	0.87054	-0.22775	NA	0.999	-0.72294	NA	0.47529
"ECO00760"	0.45496	0.79048	NA	-0.88859	NA	0.047672	0.30531	0.96467	NA
"ECO00770"	-0.26429	NA	0.99703	0.59581	0.80558	NA	-0.33298	NA	0.97426
"ECO00780"	0.90913	0.038402	NA	0.78734	0.42858	NA	-0.27101	NA	0.99236
"ECO00785"	0.96307	0.39584	NA	0.97629	0.42347	NA	0.93799	0.3759	NA
"ECO00790"	-0.69097	NA	0.29001	0.67932	0.62309	NA	-0.54227	NA	0.70002
"ECO00860"	-0.27328	NA	1	0.42165	0.98823	NA	0.30889	0.95478	NA
"ECO00900"	-0.65101	NA	0.53254	0.46393	0.9868	NA	0.31399	0.96821	NA
"ECO00903"	-0.41239	NA	1	-0.98162	NA	0.15014	0.92012	0.37674	NA
"ECO00910"	0.39228	0.85067	NA	-0.48018	NA	0.76054	0.66309	0.3929	NA
"ECO00920"	0.25642	0.96728	NA	0.36653	1	NA	-0.27902	NA	0.99352
"ECO00930"	-0.41239	NA	1	-0.98162	NA	0.15014	0.92012	0.37674	NA
"ECO00970"	-0.40355	NA	0.95206	0.79162	0.26463	NA	-0.38378	NA	0.92084
"ECO01040"	-0.58493	NA	0.89415	-0.97241	NA	0.069051	0.7489	0.53625	NA
"ECO01053"	-0.88895	NA	0.20704	0.85662	0.49867	NA	-0.84232	NA	0.32153
"ECO01100"	0.3345	0.6724	NA	-0.34528	NA	0.7053	0.38792	0.5565	NA
"ECO01110"	-0.39635	NA	0.60715	-0.42866	NA	0.56422	-0.36055	NA	0.74019
"ECO01120"	0.47498	0.46634	NA	-0.55954	NA	0.11115	0.36092	0.69194	NA
"ECO01130"	-0.41685	NA	0.58361	0.39365	0.94201	NA	-0.35189	NA	0.81511
"ECO01200"	0.48055	0.58327	NA	-0.47922	NA	0.56654	0.48006	0.53428	NA
"ECO01210"	0.36698	0.88246	NA	0.74854	0.28864	NA	0.41205	0.82745	NA
"ECO01212"	-0.78768	NA	0.10465	-0.59092	NA	0.58094	0.37527	0.8776	NA
"ECO01220"	0.67416	0.49046	NA	-0.7988	NA	0.12492	0.65948	0.49889	NA
"ECO01230"	-0.47971	NA	0.46428	0.62603	0.28575	NA	-0.4386	NA	0.61476
"ECO01501"	-0.4716	NA	0.92812	-0.5805	NA	0.63209	0.77448	0.17608	NA
"ECO01502"	0.77291	0.48076	NA	0.79536	0.61512	NA	0.90429	0.12662	NA
"ECO01503"	0.47136	0.68318	NA	-0.47481	NA	0.72647	0.34819	0.87639	NA
"ECO02010"	-0.32059	NA	0.96409	0.54071	0.49109	NA	0.43312	0.56603	NA
"ECO02020"	0.42239	0.62271	NA	-0.43155	NA	0.63287	0.54068	0.30842	NA
"ECO02024"	0.50839	0.60869	NA	-0.61703	NA	0.25091	-0.49805	NA	0.60226
"ECO02030"	0.74464	0.26915	NA	0.54971	0.93684	NA	0.77684	0.14223	NA
"ECO02040"	0.44726	0.74397	NA	-0.74871	NA	0.069459	0.80248	0.02309	NA
"ECO02060"	0.37117	0.85032	NA	0.41358	1	NA	0.58932	0.43404	NA
"ECO03010"	-0.85291	NA	0	0.50462	0.84752	NA	-0.67025	NA	0.15224
"ECO03018"	0.42575	0.85242	NA	0.82697	0.27332	NA	0.48949	0.76843	NA
"ECO03020"	-0.80801	NA	0.49136	0.95736	0.36843	NA	0.77687	0.53938	NA
"ECO03030"	-0.72585	NA	0.26529	0.80438	0.29849	NA	-0.51791	NA	0.76451
"ECO03060"	-0.79492	NA	0.10562	0.6006	0.83713	NA	-0.51133	NA	0.75794
"ECO03070"	-0.74033	NA	0.11309	0.70837	0.39765	NA	-0.77294	NA	0.10677
"ECO03410"	0.44753	0.838	NA	0.79555	0.41074	NA	0.37385	0.9159	NA
"ECO03420"	0.69873	0.61241	NA	0.73744	0.6867	NA	0.36901	0.95829	NA
"ECO03430"	-0.5008	NA	0.8362	0.78015	0.30898	NA	-0.44474	NA	0.83062
"ECO03440"	-0.59985	NA	0.45103	0.37038	0.99224	NA	-0.25689	NA	0.99685
"ECO04122"	0.4313	0.8441	NA	0.68749	0.63075	NA	0.35618	0.91037	NA
"ACCB_REP"	-0.91434	NA	0.44459	-0.63919	NA	0.79881	-0.81634	NA	0.61953
"ACRR_REP"	-0.46552	NA	0.97574	0.78865	0.61431	NA	0.4984	0.83585	NA
"ADA_POS"	0.76498	0.62385	NA	-0.86304	NA	0.35183	-0.51667	NA	0.92786
"ADA_REP"	0.78954	0.64412	NA	-0.80454	NA	0.57969	0.61303	0.83057	NA
"ADIY_POS"	0.95974	0.091311	NA	-0.9403	NA	0.067626	-0.94153	NA	0.10164
"AGAR_REP"	0.33913	0.95983	NA	0.59	0.97484	NA	0.50854	0.80357	NA
"ALLR_REP"	0.67025	0.61841	NA	0.31535	1	NA	0.69301	0.52296	NA
"ALLS_POS"	0.58422	0.85006	NA	0.51321	0.99266	NA	0.66774	0.77205	NA
"ALSR_REP"	0.5845	0.76129	NA	0.80958	0.64875	NA	0.48995	0.88136	NA
"APPY_POS"	0.81084	0.46541	NA	-0.81053	NA	0.35323	-0.73537	NA	0.49516
"ARAC_POS"	0.70032	0.55797	NA	0.6718	0.80456	NA	0.62821	0.5842	NA
"ARAC_REP"	0.72078	0.59682	NA	-0.27412	NA	0.99642	0.61153	0.64555	NA
"ARCA_POS"	0.69028	0.11962	NA	-0.41955	NA	0.77891	-0.37924	NA	0.85416
"ARCA_REP"	0.39457	0.67937	NA	-0.66748	NA	0.047155	0.7497	0	NA
"ARGP_POS"	-0.6926	NA	0.44032	0.83016	0.29973	NA	-0.75551	NA	0.32844
"ARGR_POS"	0.76587	0.60577	NA	-0.83349	NA	0.36807	0.69259	0.63276	NA
"ARGR_REP"	-0.72914	NA	0.10094	0.78176	0.202	NA	-0.73936	NA	0.13154
"ARSR_REP"	0.72308	0.6726	NA	0.6331	0.97965	NA	0.54378	0.858	NA
"ASCG_REP"	0.73541	0.62215	NA	-0.5861	NA	0.78415	0.5727	0.79132	NA
"ASNC_REP"	-0.88223	NA	0.44971	0.81767	0.72317	NA	-0.88095	NA	0.46809
"ATOC_POS"	0.53768	0.84557	NA	0.52548	0.99404	NA	0.63988	0.70381	NA
"BAER_POS"	0.70651	0.59325	NA	0.64456	0.90486	NA	-0.33583	NA	0.9877
"BASR_POS"	-0.83096	NA	0.16904	-0.9117	NA	0.068958	0.8691	0.11343	NA
"BASR_REP"	0.9314	0.50935	NA	-0.5651	NA	0.87277	-0.93239	NA	0.46634
"BETI_REP"	0.62065	0.73839	NA	0.62516	0.96844	NA	-0.4369	NA	0.9671
"BIRA_REP"	0.96986	0.19234	NA	0.78946	0.70404	NA	0.63014	0.69526	NA
"BLUR_REP"	0.79699	0.61361	NA	0.62757	0.97564	NA	0.7443	0.56327	NA
"BOLA_DUAL"	0.37493	0.97667	NA	-0.91753	NA	0.38197	-0.91841	NA	0.4699
"CADC_POS"	0.77142	0.62416	NA	0.3756	1	NA	0.91021	0.40198	NA
"CAIF_POS"	0.56237	0.71488	NA	0.33503	1	NA	0.64293	0.55833	NA
"CBL_POS"	0.5491	0.75231	NA	-0.48351	NA	0.87441	-0.48584	NA	0.86263
"CDAR_POS"	0.65922	0.60701	NA	0.60919	0.94732	NA	0.58584	0.67406	NA
"CHBR_POS"	0.59773	0.73023	NA	0.48421	0.99254	NA	0.78161	0.46984	NA
"CHBR_REP"	0.59773	0.73023	NA	0.48421	0.99254	NA	0.78161	0.46984	NA
"CPXR_POS"	0.3697	0.84729	NA	-0.44675	NA	0.76336	0.39819	0.80814	NA
"CPXR_REP"	-0.79586	NA	0.13215	-0.86904	NA	0.045236	0.78579	0.10654	NA
"CRA_POS"	-0.46621	NA	0.88988	-0.88899	NA	0.045508	0.81023	0.089478	NA
"CRA_REP"	0.60309	0.385	NA	0.50505	0.83936	NA	0.60026	0.36095	NA
"CREB_POS"	0.90981	0.55888	NA	-0.98169	NA	0.25	-0.8551	NA	0.58106
"CREB_REP"	-0.84247	NA	0.48525	-0.96346	NA	0.18749	0.97975	0.27426	NA
"CRP_DUAL"	0.65556	0.38677	NA	0.63378	0.60984	NA	0.67297	0.30483	NA
"CRP_POS"	0.37612	0.61381	NA	-0.54042	NA	0.099657	0.57257	0.086473	NA
"CRP_REP"	0.51025	0.48762	NA	-0.63722	NA	0.081506	-0.53758	NA	0.40283
"CSGD_POS"	-0.78267	NA	0.23833	-0.87247	NA	0.071421	0.90301	0.057315	NA
"CSGD_REP"	0.3403	0.94405	NA	-0.61432	NA	0.60048	0.71032	0.38362	NA
"CSIR_REP"	0.82777	0.49435	NA	-0.96122	NA	0.099621	-0.74615	NA	0.56104
"CSPA_POS"	-0.75364	NA	0.83737	0.77226	0.83161	NA	0.5174	0.89582	NA
"CUER_POS"	0.77585	0.64962	NA	0.8509	0.68898	NA	-0.94071	NA	0.47748
"CUER_REP"	0.85915	0.46143	NA	0.73734	0.80928	NA	0.81469	0.46868	NA
"CUSR_POS"	-0.3502	NA	1	-0.70627	NA	0.47546	-0.32591	NA	0.99664
"CYNR_POS"	0.57876	0.84113	NA	-0.43753	NA	0.9493	-0.47556	NA	0.97941
"CYSB_POS"	-0.25306	NA	0.97694	0.30433	1	NA	-0.19747	NA	1
"CYSB_REP"	0.62567	0.67512	NA	0.53796	0.99692	NA	-0.47129	NA	0.91978
"CYTR_REP"	0.65002	0.59745	NA	0.5822	0.9323	NA	0.57629	0.64123	NA
"DAN_POS"	0.59557	0.78343	NA	0.51799	0.99661	NA	0.69479	0.64316	NA
"DCUR_POS"	0.38529	0.94519	NA	-0.6723	NA	0.62396	0.60504	0.68004	NA
"DEOR_REP"	0.74292	0.60173	NA	-0.66912	NA	0.63883	0.63889	0.6555	NA
"DHAR_POS"	-0.66199	NA	0.88869	0.59408	1	NA	0.54494	0.85964	NA
"DICA_REP"	0.46634	0.93435	NA	0.47383	0.98071	NA	-0.53728	NA	0.91721
"DINJ-YAFQ_REP"	-0.92174	NA	0.386	-0.6409	NA	0.75804	0.49531	0.8976	NA
"DNAA_DUAL"	0.46587	0.93093	NA	0.67781	0.97905	NA	0.62272	0.7864	NA
"DNAA_POS"	0.67142	0.68509	NA	0.96661	0.34071	NA	0.80519	0.51455	NA
"DNAA_REP"	0.6381	0.62508	NA	0.75317	0.6211	NA	0.70755	0.49487	NA
"DPIA_POS"	0.66758	0.621	NA	-0.47924	NA	0.86377	0.52929	0.78719	NA
"DSDC_POS"	0.91335	0.55834	NA	0.79166	0.84072	NA	0.92446	0.43692	NA
"EBGR_REP"	-0.56392	NA	0.97542	0.59245	0.97174	NA	0.54277	0.88632	NA
"ENVR_REP"	-0.97535	NA	0.3898	0.87312	0.6872	NA	0.78534	0.61474	NA
"ENVY_POS"	-0.92568	NA	0.44083	-0.97606	NA	0.25507	0.97437	0.39101	NA
"EVGA_POS"	0.83379	0.1144	NA	-0.62047	NA	0.56597	-0.66556	NA	0.47212
"EXUR_REP"	-0.30346	NA	0.98233	0.49701	0.98561	NA	-0.43185	NA	0.94378
"FABR_REP"	-0.71587	NA	0.86221	0.95445	0.55186	NA	-0.76119	NA	0.74005
"FADR_POS"	-0.86504	NA	0.10229	0.84667	0.31014	NA	-0.78257	NA	0.30692
"FADR_REP"	-0.72524	NA	0.44343	-0.88545	NA	0.093285	0.69255	0.51672	NA
"FEAR_POS"	0.84399	0.62215	NA	-0.57107	NA	0.87953	0.86966	0.53124	NA
"FHLA_POS"	0.65765	0.40248	NA	0.52374	0.91559	NA	0.54545	0.55894	NA
"FIS_DUAL"	-0.68301	NA	0.89624	-0.92697	NA	0.36216	0.86949	0.52657	NA
"FIS_POS"	0.50557	0.60093	NA	-0.34841	NA	0.87531	0.68143	0.09828	NA
"FIS_REP"	0.42676	0.65636	NA	-0.71314	NA	0.048581	-0.54215	NA	0.42791
"FLHDC_POS"	0.30952	0.89513	NA	-0.59901	NA	0.24786	0.67284	0.084902	NA
"FLHDC_REP"	-0.86176	NA	0.43145	-0.77095	NA	0.55719	0.75318	0.55845	NA
"FLIZ_REP"	0.7613	0.22132	NA	-0.93668	NA	0.024125	-0.76017	NA	0.19707
"FNR_DUAL"	0.66516	0.6038	NA	0.6344	0.83684	NA	0.77524	0.29495	NA
"FNR_POS"	-0.31516	NA	0.96182	0.36682	0.97498	NA	0.39824	0.64611	NA
"FNR_REP"	0.51109	0.48377	NA	0.386	0.97964	NA	0.60913	0.14196	NA
"FUCR_POS"	0.82227	0.42909	NA	0.70061	0.8445	NA	0.80395	0.39668	NA
"FUR_DUAL"	-0.39875	NA	1	0.76894	0.72774	NA	-0.41907	NA	0.96371
"FUR_POS"	-0.59122	NA	0.65528	0.59268	0.84031	NA	-0.52788	NA	0.76001
"FUR_REP"	-0.53575	NA	0.29794	0.81841	0	NA	-0.51395	NA	0.47616
"GADE_POS"	0.90229	0.00075545	NA	-0.84692	NA	0.043155	-0.91223	NA	0.00069459
"GADE-RCSB_POS"	0.88943	0.16943	NA	-0.89381	NA	0.09882	-0.9027	NA	0.13206
"GADW_DUAL"	0.94821	0.15585	NA	-0.9522	NA	0.07594	-0.97485	NA	0.10982
"GADW_POS"	0.98263	0.37588	NA	-0.97837	NA	0.15361	-0.99123	NA	0.28447
"GADW_REP"	0.96367	0.28635	NA	-0.97894	NA	0.10114	-0.94423	NA	0.28569
"GADX_DUAL"	0.91897	0.45639	NA	-0.93539	NA	0.25443	-0.95432	NA	0.3277
"GADX_POS"	0.8801	0.015319	NA	-0.88111	NA	0.048838	-0.90538	NA	0.004428
"GADX_REP"	0.5659	0.84911	NA	-0.48687	NA	0.91572	0.49208	0.89477	NA
"GALR_POS"	0.82581	0.54808	NA	0.53603	0.97791	NA	0.85626	0.41537	NA
"GALR_REP"	-0.57769	NA	0.84401	0.64237	0.84227	NA	0.76353	0.37744	NA
"GALS_POS"	0.82581	0.54808	NA	0.53603	0.97791	NA	0.85626	0.41537	NA
"GALS_REP"	-0.57769	NA	0.84401	0.64237	0.84227	NA	0.76353	0.37744	NA
"GATR_REP"	0.54553	0.83041	NA	-0.82189	NA	0.38961	0.63618	0.68914	NA
"GCVA_DUAL"	-0.93778	NA	0.34719	-0.70395	NA	0.67046	-0.93926	NA	0.37318
"GCVA_REP"	-0.90557	NA	0.29555	0.42188	1	NA	-0.92045	NA	0.31845
"GLCC_POS"	0.43958	0.90882	NA	-0.90734	NA	0.15024	0.6639	0.64072	NA
"GLPR_REP"	0.86384	0.23827	NA	0.31623	1	NA	0.74995	0.41543	NA
"GNTR_REP"	0.62849	0.60704	NA	0.51015	0.99729	NA	0.62742	0.5645	NA
"GUTM_POS"	0.67604	0.64911	NA	0.9047	0.39877	NA	0.73919	0.55863	NA
"GUTR_REP"	0.67604	0.64911	NA	0.9047	0.39877	NA	0.73919	0.55863	NA
"HCAR_POS"	0.7667	0.60871	NA	0.3037	0.9974	NA	0.76391	0.52368	NA
"HDFR_POS"	-0.43333	NA	1	-0.78494	NA	0.56439	-0.78765	NA	0.5884
"HDFR_REP"	-0.51617	NA	1	0.4984	0.99201	NA	0.54135	0.88091	NA
"HIPAB_REP"	0.49848	0.87052	NA	0.57295	1	NA	0.72307	0.55554	NA
"HIPB_REP"	0.5101	0.84708	NA	-0.56197	NA	0.79572	0.72194	0.55805	NA
"H-NS_POS"	-0.68468	NA	0.12547	-0.63613	NA	0.31339	-0.33701	NA	0.94666
"H-NS_REP"	0.64178	0.066372	NA	-0.64569	NA	0.068481	-0.64959	NA	0.10486
"HU_REP"	0.79626	0.45777	NA	-0.29048	NA	1	0.84194	0.2699	NA
"HYFR_POS"	0.69628	0.51811	NA	0.55185	0.97628	NA	0.67325	0.51395	NA
"HYPT_POS"	0.35625	0.96231	NA	0.73952	0.68405	NA	-0.3327	NA	0.98419
"HYPT_REP"	-0.8288	NA	0.41901	0.86743	0.52992	NA	-0.83428	NA	0.41815
"ICLR_REP"	0.7281	0.63012	NA	-0.98172	NA	0.099717	-0.69029	NA	0.71432
"IDNR_POS"	0.65199	0.6796	NA	-0.44541	NA	0.92574	0.52015	0.84963	NA
"IDNR_REP"	0.75759	0.6766	NA	0.86201	0.68913	NA	0.91484	0.46348	NA
"IHF_DUAL"	-0.84538	NA	0.5082	-0.94638	NA	0.23612	0.82999	0.52222	NA
"IHF_POS"	0.34781	0.74022	NA	-0.41742	NA	0.65046	0.59813	0.109	NA
"IHF_REP"	0.57079	0.39895	NA	-0.6945	NA	0.063313	0.65804	0.099959	NA
"ISCR_POS"	-0.4768	NA	0.95786	0.94657	0.17323	NA	-0.63559	NA	0.59709
"ISCR_REP"	0.656	0.48102	NA	-0.60111	NA	0.5651	0.29028	0.96786	NA
"KDGR_REP"	0.81708	0.62455	NA	0.70921	0.96064	NA	0.72871	0.67686	NA
"KDPE_POS"	0.90298	0.49698	NA	0.8163	0.72083	NA	-0.63803	NA	0.82668
"LACI_REP"	0.59111	0.83359	NA	-0.54328	NA	0.87803	0.59704	0.8082	NA
"LEUO_POS"	0.6054	0.60918	NA	0.52107	0.9687	NA	0.74118	0.27385	NA
"LEXA_REP"	0.28514	0.93744	NA	0.66841	0.28419	NA	0.20107	0.99131	NA
"LLDR_POS"	0.77836	0.61547	NA	0.59727	1	NA	0.77617	0.55647	NA
"LLDR_REP"	0.77836	0.61547	NA	0.59727	1	NA	0.77617	0.55647	NA
"LRHA_POS"	0.52525	0.90035	NA	0.72375	0.95135	NA	0.83239	0.56437	NA
"LRHA_REP"	-0.51617	NA	1	0.4984	0.99201	NA	0.54135	0.88091	NA
"LRP_POS"	-0.63823	NA	0.27119	-0.83567	NA	0.038212	-0.39669	NA	0.8646
"LRP_REP"	0.80555	0.018131	NA	-0.5289	NA	0.60545	0.56577	0.5161	NA
"LSRR_REP"	0.62193	0.63358	NA	-0.95492	NA	0.065669	0.61693	0.63997	NA
"MALI_REP"	0.50754	0.9019	NA	0.58661	0.97393	NA	0.53568	0.86557	NA
"MALT_POS"	-0.72591	NA	0.45905	-0.94223	NA	0.060115	0.88697	0.11533	NA
"MARA_POS"	0.6241	0.47346	NA	0.61032	0.67403	NA	0.65925	0.36708	NA
"MARA_REP"	0.93245	0.16593	NA	-0.92668	NA	0.09946	-0.93415	NA	0.12547
"MARR_REP"	0.89983	0.48156	NA	-0.67778	NA	0.70927	-0.62988	NA	0.82071
"MATA_POS"	-0.85732	NA	0.57519	-0.87696	NA	0.47375	0.97117	0.37712	NA
"MATA_REP"	-0.57975	NA	0.90178	-0.74794	NA	0.53607	0.73954	0.53443	NA
"MAZE_REP"	0.52519	0.88766	NA	0.67383	0.95299	NA	0.72272	0.6369	NA
"MAZE-MAZF_REP"	0.52519	0.88766	NA	0.67383	0.95299	NA	0.72272	0.6369	NA
"MCBR_POS"	0.65556	0.75088	NA	-0.88691	NA	0.36143	-0.69829	NA	0.76099
"MELR_POS"	0.80049	0.60878	NA	0.35483	0.99466	NA	0.81924	0.52818	NA
"MELR_REP"	0.80049	0.60878	NA	0.35483	0.99466	NA	0.81924	0.52818	NA
"METJ_REP"	0.74039	0.41039	NA	0.90004	0.15226	NA	0.5923	0.56675	NA
"METR_POS"	-0.56055	NA	0.94939	0.88563	0.55974	NA	-0.77931	NA	0.55855
"MHPR_POS"	0.67516	0.64032	NA	0.38817	1	NA	0.56948	0.76817	NA
"MLC_REP"	0.48458	0.83187	NA	-0.50543	NA	0.82745	0.83741	0.20439	NA
"MLRA_POS"	-0.84425	NA	0.22915	-0.90892	NA	0.097961	0.88061	0.17292	NA
"MNGR_REP"	0.4651	0.92796	NA	0.47718	0.99226	NA	0.56166	0.8459	NA
"MNTR_REP"	0.77052	0.61791	NA	-0.7756	NA	0.57047	-0.46346	NA	0.9856
"MODE_POS"	0.73281	0.15217	NA	0.55453	0.84261	NA	0.67752	0.28411	NA
"MODE_REP"	0.7792	0.26797	NA	0.74063	0.53466	NA	0.84795	0.091823	NA
"MPRA_REP"	-0.85838	NA	0.3653	0.82322	0.6213	NA	-0.3257	NA	0.99621
"MQSA_REP"	0.64856	0.73819	NA	-0.74468	NA	0.57748	0.66717	0.67693	NA
"MRAZ_REP"	-0.43358	NA	0.94499	0.75842	0.40787	NA	-0.39721	NA	0.93172
"MTLR_REP"	0.86887	0.56514	NA	0.83991	0.69691	NA	-0.69509	NA	0.7599
"MURR_REP"	-0.74278	NA	0.86326	0.86281	0.71349	NA	-0.43569	NA	1
"NAC_POS"	0.53122	0.73373	NA	-0.89348	NA	0.067912	0.48445	0.80031	NA
"NAC_REP"	-0.70411	NA	0.49495	0.39451	0.98989	NA	-0.68447	NA	0.55943
"NADR_REP"	-0.41412	NA	1	-0.84646	NA	0.37794	-0.7809	NA	0.56249
"NAGC_DUAL"	0.60134	0.8271	NA	0.5916	0.96838	NA	0.58041	0.82988	NA
