"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO01130"	-0.44345	NA	0.57221	0.3703	0.94228	NA	0.38231	0.90963	NA
"ECO01200"	0.47061	0.87058	NA	-0.37301	NA	0.89536	-0.2782	NA	0.99704
"ECO01210"	-0.45771	NA	0.81282	0.51141	0.88541	NA	-0.90126	NA	0.73013
"ECO01212"	-0.58628	NA	0.66155	-0.65657	NA	0.84483	-0.41186	NA	0.95326
"ECO01220"	0.46565	0.90801	NA	0.55994	0.86754	NA	0.52365	0.87032	NA
"ECO01230"	-0.57389	NA	0.14746	0.4467	0.88925	NA	-0.58694	NA	0.59084
"ECO01501"	-0.50323	NA	0.80979	-0.56073	NA	0.83539	-0.6157	NA	0.77541
"ECO01502"	0.84159	0.6078	NA	0.54602	0.93072	NA	0.55673	0.89641	NA
"ECO01503"	0.61713	0.75795	NA	-0.39279	NA	0.91379	-0.51882	NA	0.82005
"ECO02010"	0.43715	0.80945	NA	0.50519	0.83579	NA	0.62182	0.52492	NA
"ECO02020"	0.48817	0.82195	NA	-0.51318	NA	0.79047	-0.58684	NA	0.5787
"ECO02024"	-0.63313	NA	0.1483	-0.59752	NA	0.83834	-0.47062	NA	0.84174
"ECO02030"	0.66421	0.74655	NA	0.78953	0.72815	NA	0.90486	0.29274	NA
"ECO02040"	-0.80817	NA	0.019363	-0.72893	NA	0.43582	0.53219	0.86508	NA
"ECO02060"	-0.61804	NA	0.31366	0.52086	0.82998	NA	0.69972	0.51708	NA
"ECO03010"	-0.55216	NA	0.4762	-0.74129	NA	0.46334	0.76208	0.34212	NA
"ECO03018"	0.73326	0.71026	NA	-0.42395	NA	0.92146	0.77938	0.51038	NA
"ECO03020"	0.78738	0.83246	NA	-0.41784	NA	0.98906	0.71362	0.88219	NA
"ECO03030"	0.778	0.44112	NA	-0.56734	NA	0.84028	0.68384	0.77932	NA
"ECO03060"	0.28869	0.99334	NA	-0.61118	NA	0.81522	0.84717	0.30269	NA
"ECO03070"	-0.34721	NA	0.94	-0.37156	NA	0.93755	0.68186	0.67643	NA
"ECO03410"	0.74551	0.69084	NA	0.81164	0.61746	NA	0.50214	0.91214	NA
"ECO03420"	0.88958	0.44674	NA	0.83104	0.76038	NA	0.85118	0.5096	NA
"ECO03430"	0.81726	0.38644	NA	0.35984	1	NA	0.66339	0.75848	NA
"ECO03440"	0.75807	0.4092	NA	-0.51046	NA	0.82053	0.56023	0.87536	NA
"ECO04122"	-0.58296	NA	0.69377	-0.38031	NA	0.9553	-0.81953	NA	0.39402
"ACCB_REP"	-0.86789	NA	0.64803	-0.77947	NA	0.83034	0.81337	0.82232	NA
"ACRR_REP"	-0.7002	NA	0.66192	0.3533	0.99112	NA	-0.37197	NA	0.99944
"ADA_POS"	0.67622	0.81609	NA	0.49901	0.9695	NA	-0.74844	NA	0.78535
"ADA_REP"	0.75686	0.87474	NA	0.71534	0.85779	NA	0.72874	0.85093	NA
"ADIY_POS"	-0.84747	NA	0.25814	-0.80313	NA	0.7265	-0.95937	NA	0.39668
"AGAR_REP"	0.39059	0.99157	NA	0.62727	0.83776	NA	-0.47167	NA	0.96791
"ALLR_REP"	-0.37549	NA	0.96893	0.77954	0.71906	NA	-0.61123	NA	0.81249
"ALLS_POS"	-0.8264	NA	0.70467	0.59031	0.94089	NA	-0.67764	NA	0.88826
"ALSR_REP"	0.28066	0.99385	NA	-0.51298	NA	0.91602	-0.50842	NA	0.96158
"APPY_POS"	0.66242	0.85854	NA	-0.70746	NA	0.81217	-0.8156	NA	0.5648
"ARAC_POS"	-0.5136	NA	0.83544	-0.73183	NA	0.82758	-0.83739	NA	0.46755
"ARAC_REP"	0.42319	0.9751	NA	0.93848	0.45567	NA	0.4292	0.95779	NA
"ARCA_POS"	0.60893	0.75473	NA	0.39775	0.94186	NA	-0.42356	NA	0.92289
"ARCA_REP"	0.55697	0.7642	NA	-0.74788	NA	0.5422	-0.6446	NA	0.47336
"ARGP_POS"	-0.66183	NA	0.65499	-0.37851	NA	0.96871	-0.30423	NA	0.9786
"ARGR_POS"	-0.88869	NA	0.35742	0.79748	0.65805	NA	-0.8067	NA	0.64498
"ARGR_REP"	-0.37751	NA	0.87391	-0.6743	NA	0.67613	0.43872	0.91358	NA
"ARSR_REP"	-0.63422	NA	0.83039	0.60422	0.93314	NA	0.28547	0.99438	NA
"ASCG_REP"	0.39695	0.99027	NA	0.71201	0.81551	NA	0.47499	0.97053	NA
"ASNC_REP"	-0.66869	NA	0.8126	-0.82866	NA	0.80326	0.79862	0.79703	NA
"ATOC_POS"	-0.49156	NA	0.93044	-0.68038	NA	0.84318	0.42002	0.98324	NA
"BAER_POS"	0.85645	0.51483	NA	0.8186	0.70219	NA	0.82936	0.53618	NA
"BASR_POS"	-0.92323	NA	0.081975	0.54162	0.90416	NA	-0.3401	NA	0.98436
"BASR_REP"	0.89671	0.75735	NA	0.91467	0.73329	NA	-0.84464	NA	0.73724
"BETI_REP"	0.85735	0.7579	NA	-0.84398	NA	0.85363	-0.81434	NA	0.69549
"BIRA_REP"	0.67972	0.86247	NA	-0.60615	NA	0.83412	0.70994	0.85292	NA
"BLUR_REP"	-0.73901	NA	0.6896	0.49836	0.96341	NA	-0.73548	NA	0.79321
"BOLA_DUAL"	-0.49837	NA	0.95118	0.31184	1	NA	-0.96649	NA	0.52293
"CADC_POS"	0.66289	0.82253	NA	0.84973	0.69695	NA	0.96436	0.52868	NA
"CAIF_POS"	-0.67395	NA	0.65617	-0.60908	NA	0.83752	-0.63674	NA	0.79169
"CBL_POS"	0.91194	0.39971	NA	0.93445	0.47155	NA	0.94423	0.30989	NA
"CDAR_POS"	0.29925	0.9923	NA	-0.52231	NA	0.8826	-0.7508	NA	0.64969
"CHBR_POS"	-0.8051	NA	0.566	-0.34482	NA	0.98721	-0.57654	NA	0.90806
"CHBR_REP"	-0.8051	NA	0.566	-0.34482	NA	0.98721	-0.57654	NA	0.90806
"CPXR_POS"	0.78933	0.54295	NA	0.64137	0.70796	NA	0.39368	0.95122	NA
"CPXR_REP"	-0.72103	NA	0.25467	0.63407	0.74693	NA	-0.33911	NA	0.98965
"CRA_POS"	-0.44782	NA	0.83506	-0.45469	NA	0.88288	-0.53566	NA	0.81159
"CRA_REP"	-0.66148	NA	0.13965	-0.37259	NA	0.92091	0.61391	0.76733	NA
"CREB_POS"	0.91736	0.73152	NA	0.68772	0.89544	NA	0.60496	0.91216	NA
"CREB_REP"	0.9219	0.67959	NA	0.97949	0.64512	NA	0.97479	0.52771	NA
"CRP_DUAL"	0.43312	0.91057	NA	0.96262	0.17803	NA	0.55376	0.86781	NA
"CRP_POS"	-0.40445	NA	0.59443	0.39419	0.94131	NA	0.46416	0.83567	NA
"CRP_REP"	0.44206	0.82341	NA	-0.64418	NA	0.5253	-0.66674	NA	0.39827
"CSGD_POS"	-0.85764	NA	0.14276	0.82987	0.7106	NA	-0.22076	NA	0.9976
"CSGD_REP"	-0.70513	NA	0.47752	-0.49149	NA	0.86625	0.61825	0.8432	NA
"CSIR_REP"	0.47344	0.95723	NA	0.69983	0.80967	NA	-0.84322	NA	0.58582
"CSPA_POS"	-0.84991	NA	0.65018	-0.87508	NA	0.85195	0.75382	0.86358	NA
"CUER_POS"	0.95799	0.66084	NA	0.96128	0.7909	NA	0.92913	0.67271	NA
"CUER_REP"	-0.85987	NA	0.48019	0.5666	0.93867	NA	-0.9498	NA	0.42094
"CUSR_POS"	-0.61289	NA	0.69387	-0.66449	NA	0.78352	0.40747	0.96289	NA
"CYNR_POS"	0.55671	0.9236	NA	-0.65742	NA	0.83564	-0.68727	NA	0.83954
"CYSB_POS"	0.84642	0.36133	NA	0.94914	0.38635	NA	0.90109	0.32185	NA
"CYSB_REP"	0.85477	0.60833	NA	0.83355	0.72031	NA	0.79145	0.763	NA
"CYTR_REP"	0.46547	0.93083	NA	-0.58	NA	0.82534	-0.76158	NA	0.56549
"DAN_POS"	0.54151	0.92121	NA	0.40222	1	NA	-0.39357	NA	0.97648
"DCUR_POS"	0.77115	0.75361	NA	0.46842	0.97366	NA	0.84831	0.55051	NA
"DEOR_REP"	0.66685	0.84348	NA	0.46253	0.97018	NA	-0.94302	NA	0.44922
"DHAR_POS"	0.71693	0.82093	NA	0.74938	0.80165	NA	0.81167	0.83538	NA
"DICA_REP"	-0.55744	NA	0.9235	0.43415	1	NA	0.54065	0.96516	NA
"DINJ-YAFQ_REP"	0.82342	0.83332	NA	0.71805	0.84434	NA	0.80013	0.8019	NA
"DNAA_DUAL"	0.38408	0.99405	NA	-0.83126	NA	0.81114	-0.74834	NA	0.79072
"DNAA_POS"	-0.66386	NA	0.80713	0.87415	0.6998	NA	0.4045	0.98872	NA
"DNAA_REP"	-0.25845	NA	0.99351	-0.66152	NA	0.80814	-0.58086	NA	0.84304
"DPIA_POS"	0.76885	0.75435	NA	-0.23822	NA	0.99817	-0.49585	NA	0.95989
"DSDC_POS"	-0.9052	NA	0.59981	-0.60638	NA	0.89837	-0.89049	NA	0.65132
"EBGR_REP"	0.73908	0.81464	NA	-0.52829	NA	0.9459	0.57005	0.94018	NA
"ENVR_REP"	-0.88856	NA	0.62542	0.89836	0.69741	NA	-0.84724	NA	0.73524
"ENVY_POS"	-0.71489	NA	0.80866	-0.76822	NA	0.83464	-0.7253	NA	0.84435
"EVGA_POS"	0.9165	0.52591	NA	-0.94973	NA	1	-0.98516	NA	1
"EXUR_REP"	0.79958	0.72035	NA	0.73521	0.69301	NA	0.59409	0.86222	NA
"FABR_REP"	0.81833	0.81077	NA	-0.73133	NA	0.84493	-0.82357	NA	0.75155
"FADR_POS"	0.36143	0.9918	NA	0.37874	1	NA	0.582	0.86251	NA
"FADR_REP"	0.49138	0.92222	NA	-0.7763	NA	0.71748	-0.40873	NA	0.97684
"FEAR_POS"	-0.70223	NA	0.81101	-0.7944	NA	0.81481	-0.78873	NA	0.78713
"FHLA_POS"	0.6008	0.82671	NA	0.65704	0.6935	NA	0.43284	0.91917	NA
"FIS_DUAL"	-0.93708	NA	0.56276	-0.41426	NA	0.98441	-0.95429	NA	0.55606
"FIS_POS"	0.48347	0.85787	NA	0.5962	0.66577	NA	0.73767	0.32453	NA
"FIS_REP"	-0.44571	NA	0.70686	-0.52875	NA	0.77079	-0.32638	NA	0.97977
"FLHDC_POS"	-0.53166	NA	0.47673	-0.44505	NA	0.8176	0.53485	0.82409	NA
"FLHDC_REP"	-0.97966	NA	0.24444	-0.93781	NA	0.5986	0.73769	0.85108	NA
"FLIZ_REP"	-0.79596	NA	0.14374	-0.8652	NA	0.68584	-0.89774	NA	0.39641
"FNR_DUAL"	0.3448	0.9913	NA	-0.60444	NA	0.84227	0.33598	0.9801	NA
"FNR_POS"	0.63256	0.45266	NA	0.59599	0.707	NA	0.47883	0.84681	NA
"FNR_REP"	0.43837	0.81417	NA	-0.67138	NA	0.40938	-0.64256	NA	0.46432
"FUCR_POS"	-0.76801	NA	0.5922	0.41395	1	NA	-0.83069	NA	0.55011
"FUR_DUAL"	-0.91908	NA	0.26163	-0.65455	NA	0.82974	0.466	0.96101	NA
"FUR_POS"	-0.54548	NA	0.76236	-0.75037	NA	0.60895	-0.45715	NA	0.95627
"FUR_REP"	0.36092	0.9312	NA	0.35844	0.97252	NA	0.62002	0.52873	NA
"GADE_POS"	-0.42726	NA	0.83506	-0.77025	NA	0.42102	-0.84643	NA	0.3161
"GADE-RCSB_POS"	0.62979	0.82678	NA	-0.77062	NA	0.82114	-0.88748	NA	0.40987
"GADW_DUAL"	0.68424	0.87746	NA	-0.91258	NA	0.55156	-0.91646	NA	0.43025
"GADW_POS"	0.79041	0.81498	NA	-0.96268	NA	0.6023	-0.98616	NA	0.4676
"GADW_REP"	-0.56929	NA	0.86705	-0.7974	NA	0.7857	-0.89771	NA	0.52825
"GADX_DUAL"	0.73839	0.88484	NA	-0.93104	NA	0.74296	-0.88034	NA	0.64795
"GADX_POS"	0.23365	0.99787	NA	-0.68772	NA	0.75474	-0.8925	NA	0.47685
"GADX_REP"	-0.87859	NA	0.59891	-0.65248	NA	0.83186	-0.50912	NA	0.96359
"GALR_POS"	0.95229	0.41868	NA	0.95723	0.63992	NA	0.95006	0.51777	NA
"GALR_REP"	-0.54113	NA	0.80382	0.73209	0.68052	NA	0.9222	0.32322	NA
"GALS_POS"	0.95229	0.41868	NA	0.95723	0.63992	NA	0.95006	0.51777	NA
"GALS_REP"	-0.54113	NA	0.80382	0.73209	0.68052	NA	0.9222	0.32322	NA
"GATR_REP"	-0.81577	NA	0.56837	-0.92698	NA	0.61572	0.89894	0.49955	NA
"GCVA_DUAL"	-0.56871	NA	0.88416	-0.55215	NA	0.91716	0.82748	0.80079	NA
"GCVA_REP"	-0.56885	NA	0.86244	0.38541	0.9956	NA	0.66546	0.85937	NA
"GLCC_POS"	-0.94138	NA	0.21125	-0.88609	NA	0.57819	0.72231	0.82227	NA
"GLPR_REP"	0.87133	0.43331	NA	0.82593	0.78962	NA	0.82878	0.50792	NA
"GNTR_REP"	-0.79417	NA	0.25834	-0.68649	NA	0.82077	-0.53833	NA	0.89751
"GUTM_POS"	0.74819	0.81313	NA	-0.80737	NA	0.80204	-0.44289	NA	0.97443
"GUTR_REP"	0.74819	0.81313	NA	-0.80737	NA	0.80204	-0.44289	NA	0.97443
"HCAR_POS"	-0.68382	NA	0.73934	-0.81546	NA	0.81614	-0.78676	NA	0.68633
"HDFR_POS"	-0.94291	NA	0.46144	-0.761	NA	0.81556	-0.60479	NA	0.93036
"HDFR_REP"	-0.86632	NA	0.6388	-0.91376	NA	0.86299	-0.39017	NA	0.9829
"HIPAB_REP"	-0.6228	NA	0.81418	-0.64109	NA	0.81767	-0.72345	NA	0.787
"HIPB_REP"	-0.39989	NA	0.96453	-0.67915	NA	0.8395	-0.72943	NA	0.74858
"H-NS_POS"	-0.63664	NA	0.25493	-0.77188	NA	0.64753	-0.33247	NA	0.97413
"H-NS_REP"	0.66176	0.41973	NA	0.47288	0.85888	NA	-0.39107	NA	0.92701
"HU_REP"	0.78823	0.75893	NA	0.83059	0.73921	NA	0.57857	0.87124	NA
"HYFR_POS"	0.6207	0.86268	NA	-0.2605	NA	0.99689	0.5251	0.8892	NA
"HYPT_POS"	0.59452	0.82122	NA	-0.38611	NA	0.98832	0.62731	0.868	NA
"HYPT_REP"	-0.6551	NA	0.78292	-0.76645	NA	0.74928	0.76171	0.80709	NA
"ICLR_REP"	0.90383	0.66318	NA	-0.71498	NA	0.82486	0.48794	0.96029	NA
"IDNR_POS"	-0.92374	NA	0.26807	-0.51407	NA	0.91854	-0.69822	NA	0.79674
"IDNR_REP"	0.75808	0.87896	NA	-0.6973	NA	0.82647	0.4245	0.97936	NA
"IHF_DUAL"	-0.81672	NA	0.66811	-0.53095	NA	0.93136	-0.90248	NA	0.58407
"IHF_POS"	0.38991	0.87817	NA	-0.40012	NA	0.82718	0.46776	0.87383	NA
"IHF_REP"	0.43714	0.81869	NA	-0.34903	NA	0.91962	0.36327	0.95336	NA
"ISCR_POS"	0.91125	0.37731	NA	0.80849	0.79263	NA	0.60838	0.87872	NA
"ISCR_REP"	0.63141	0.81279	NA	0.42235	0.97111	NA	-0.31061	NA	0.97948
"KDGR_REP"	0.71905	0.81697	NA	-0.7702	NA	0.84904	0.66971	0.87469	NA
"KDPE_POS"	0.89174	0.73216	NA	0.86676	0.69171	NA	0.72686	0.86489	NA
"LACI_REP"	-0.50063	NA	0.93911	-0.77407	NA	0.82917	0.6285	0.8904	NA
"LEUO_POS"	-0.7919	NA	0.14909	0.60767	0.83093	NA	-0.90712	NA	0.35921
"LEXA_REP"	0.75248	0.39945	NA	0.63055	0.72282	NA	0.63173	0.67036	NA
"LLDR_POS"	0.76718	0.84071	NA	-0.82825	NA	0.78507	0.32167	1	NA
"LLDR_REP"	0.76718	0.84071	NA	-0.82825	NA	0.78507	0.32167	1	NA
"LRHA_POS"	0.64232	0.87616	NA	-0.90262	NA	0.83963	-0.90625	NA	0.64458
"LRHA_REP"	-0.86632	NA	0.6388	-0.91376	NA	0.86299	-0.39017	NA	0.9829
"LRP_POS"	-0.76165	NA	0.041396	-0.6153	NA	0.86124	-0.39258	NA	0.96473
"LRP_REP"	-0.54773	NA	0.64687	-0.39959	NA	0.9076	-0.35098	NA	0.97885
"LSRR_REP"	-0.41555	NA	0.94146	-0.66304	NA	0.81807	-0.80657	NA	0.57945
"MALI_REP"	-0.64035	NA	0.83854	-0.5569	NA	0.91778	-0.73787	NA	0.81284
"MALT_POS"	0.93065	0.38877	NA	0.97639	0.35198	NA	0.97292	0.27738	NA
"MARA_POS"	0.57678	0.84308	NA	0.60915	0.7376	NA	0.43395	0.91541	NA
"MARA_REP"	0.61962	0.82291	NA	-0.60614	NA	0.8261	-0.83733	NA	0.56098
"MARR_REP"	0.70038	0.81515	NA	-0.80592	NA	0.779	0.70044	0.85877	NA
"MATA_POS"	0.69014	0.81837	NA	-0.91842	NA	0.86389	-0.8945	NA	0.65199
"MATA_REP"	-0.76039	NA	0.6583	-0.76693	NA	0.86492	0.55783	0.89371	NA
"MAZE_REP"	-0.78151	NA	0.68958	-0.65353	NA	0.83482	-0.82922	NA	0.7062
"MAZE-MAZF_REP"	-0.78151	NA	0.68958	-0.65353	NA	0.83482	-0.82922	NA	0.7062
"MCBR_POS"	0.98715	0.43152	NA	0.98913	0.77228	NA	0.99259	0.52587	NA
"MELR_POS"	0.82314	0.81173	NA	0.57836	0.94818	NA	-0.57795	NA	0.9502
"MELR_REP"	0.82314	0.81173	NA	0.57836	0.94818	NA	-0.57795	NA	0.9502
"METJ_REP"	-0.57009	NA	0.72039	-0.65621	NA	0.85853	0.4721	0.90781	NA
"METR_POS"	0.38665	0.99261	NA	0.63091	0.9021	NA	0.69478	0.87143	NA
"MHPR_POS"	-0.71383	NA	0.69978	0.58671	0.91058	NA	-0.72299	NA	0.75948
"MLC_REP"	-0.57166	NA	0.81022	0.62598	0.84521	NA	0.89927	0.35454	NA
"MLRA_POS"	-0.93141	NA	0.13169	0.59432	0.89251	NA	0.81603	0.58104	NA
"MNGR_REP"	-0.58663	NA	0.86993	-0.57056	NA	0.90558	0.746	0.86463	NA
"MNTR_REP"	0.79604	0.82999	NA	0.87244	0.71835	NA	-0.71561	NA	0.81939
"MODE_POS"	-0.39692	NA	0.86668	0.46502	0.93359	NA	-0.78177	NA	0.33838
"MODE_REP"	0.85789	0.4051	NA	0.68867	0.66368	NA	0.67545	0.80077	NA
"MPRA_REP"	-0.73172	NA	0.6958	-0.71616	NA	0.8096	-0.72086	NA	0.78895
"MQSA_REP"	-0.57536	NA	0.86873	-0.69473	NA	0.83626	-0.80472	NA	0.72218
"MRAZ_REP"	0.78026	0.44068	NA	0.64919	0.7441	NA	0.5991	0.85628	NA
"MTLR_REP"	-0.99461	NA	0.26069	0.84209	0.67339	NA	-0.8612	NA	0.65262
"MURR_REP"	0.62367	0.89208	NA	0.71211	0.85785	NA	0.8642	0.81317	NA
"NAC_POS"	0.61056	0.84575	NA	-0.69414	NA	0.85341	-0.72833	NA	0.64492
