"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO03420"	-0.46154	NA	0.91017	0.79966	0.42398	NA	0.51808	0.85663	NA
"ECO03430"	-0.50814	NA	0.80055	0.82436	0.22904	NA	-0.33287	NA	0.94363
"ECO03440"	-0.60223	NA	0.62501	0.52279	0.78207	NA	0.64746	0.42431	NA
"ECO04122"	0.50631	0.89724	NA	0.57184	0.76822	NA	-0.34499	NA	0.94713
"ACCB_REP"	-0.90364	NA	0.59223	0.72938	0.7885	NA	0.82497	0.59258	NA
"ACRR_REP"	0.90866	0.34725	NA	0.82885	0.33115	NA	0.89442	0.2016	NA
"ADA_POS"	0.89344	0.52643	NA	-0.88087	NA	0.4742	-0.92023	NA	0.42162
"ADA_REP"	0.82126	0.76294	NA	-0.86736	NA	0.57351	0.75434	0.71839	NA
"ADIY_POS"	0.94713	0.28456	NA	-0.92261	NA	0.17726	-0.90805	NA	0.24795
"AGAR_REP"	0.44845	0.92137	NA	0.71737	0.61793	NA	-0.33009	NA	0.97239
"ALLR_REP"	0.61999	0.83907	NA	-0.5589	NA	0.85762	0.28504	0.98614	NA
"ALLS_POS"	-0.69197	NA	0.83413	0.57602	0.88311	NA	-0.67007	NA	0.8215
"ALSR_REP"	-0.91357	NA	0.30488	0.92237	0.34841	NA	-0.85355	NA	0.47186
"APPY_POS"	0.85281	0.48658	NA	-0.83125	NA	0.46962	-0.88883	NA	0.33667
"ARAC_POS"	0.65783	0.79352	NA	-0.21972	NA	0.99922	-0.55188	NA	0.81542
"ARAC_REP"	0.82051	0.53584	NA	-0.64968	NA	0.78231	-0.57845	NA	0.81041
"ARCA_POS"	0.80304	0.17536	NA	-0.5103	NA	0.79097	-0.56216	NA	0.68003
"ARCA_REP"	0.4006	0.88382	NA	-0.50189	NA	0.72418	0.81608	0	NA
"ARGP_POS"	-0.36223	NA	0.96458	0.73969	0.41806	NA	-0.71008	NA	0.61038
"ARGR_POS"	0.65116	0.86853	NA	-0.84665	NA	0.45574	0.63709	0.77311	NA
"ARGR_REP"	-0.38827	NA	0.87468	0.73124	0.31787	NA	0.63727	0.42092	NA
"ARSR_REP"	-0.73009	NA	0.76417	0.74098	0.78182	NA	-0.63753	NA	0.81948
"ASCG_REP"	0.61776	0.89341	NA	-0.6889	NA	0.7632	-0.7752	NA	0.66174
"ASNC_REP"	-0.70252	NA	0.79312	0.9453	0.36881	NA	-0.60568	NA	0.84851
"ATOC_POS"	-0.42741	NA	0.96219	-0.60229	NA	0.85874	-0.74527	NA	0.70118
"BAER_POS"	0.81316	0.55549	NA	-0.35594	NA	0.9952	-0.58939	NA	0.82055
"BASR_POS"	-0.90097	NA	0.23208	-0.83846	NA	0.29918	0.8989	0.24127	NA
"BASR_REP"	0.90581	0.59869	NA	0.53979	0.90214	NA	-0.71846	NA	0.80281
"BETI_REP"	0.83361	0.65338	NA	0.70566	0.78371	NA	0.95503	0.30989	NA
"BIRA_REP"	0.93716	0.33387	NA	0.76193	0.67236	NA	0.85679	0.43217	NA
"BLUR_REP"	0.87262	0.5457	NA	-0.33614	NA	1	-0.42215	NA	0.955
"BOLA_DUAL"	0.94663	0.51284	NA	-0.94141	NA	0.42007	-0.93452	NA	0.50534
"CADC_POS"	0.28675	0.99611	NA	-0.72936	NA	0.76253	0.82478	0.51119	NA
"CAIF_POS"	0.32956	0.98749	NA	0.44849	0.8952	NA	-0.52731	NA	0.83762
"CBL_POS"	0.6463	0.79957	NA	-0.69696	NA	0.68155	-0.2991	NA	0.98431
"CDAR_POS"	0.55432	0.89415	NA	-0.69408	NA	0.68576	-0.60862	NA	0.79736
"CHBR_POS"	-0.80276	NA	0.58716	0.50605	0.90282	NA	-0.7146	NA	0.66792
"CHBR_REP"	-0.80276	NA	0.58716	0.50605	0.90282	NA	-0.7146	NA	0.66792
"CPXR_POS"	0.42176	0.87127	NA	0.6297	0.37743	NA	-0.57004	NA	0.66903
"CPXR_REP"	-0.84425	NA	0.095729	-0.65293	NA	0.61591	0.60659	0.5126	NA
"CRA_POS"	0.51547	0.89531	NA	-0.8003	NA	0.17518	0.75327	0.2131	NA
"CRA_REP"	0.53409	0.81052	NA	0.31118	0.92953	NA	0.59173	0.42432	NA
"CREB_POS"	0.95411	0.50577	NA	-0.97583	NA	0.31665	-0.97746	NA	0.41945
"CREB_REP"	-0.83748	NA	0.62374	-0.82157	NA	0.60647	0.96761	0.33413	NA
"CRP_DUAL"	0.63149	0.74217	NA	0.31346	0.9474	NA	0.37601	0.93067	NA
"CRP_POS"	0.4725	0.79173	NA	-0.47639	NA	0.70314	0.42684	0.51027	NA
"CRP_REP"	0.58825	0.64179	NA	-0.59424	NA	0.48894	-0.60213	NA	0.47104
"CSGD_POS"	-0.65523	NA	0.66445	-0.85087	NA	0.19733	0.54052	0.76841	NA
"CSGD_REP"	-0.61827	NA	0.70234	-0.8157	NA	0.25276	0.58603	0.64981	NA
"CSIR_REP"	0.93108	0.36119	NA	-0.95439	NA	0.1859	-0.96264	NA	0.25522
"CSPA_POS"	-0.85266	NA	0.6399	0.59283	0.89072	NA	-0.74289	NA	0.76774
"CUER_POS"	0.96239	0.492	NA	-0.9199	NA	0.46902	-0.90334	NA	0.58478
"CUER_REP"	0.80134	0.69141	NA	0.91512	0.3334	NA	0.38808	0.97375	NA
"CUSR_POS"	0.57955	0.87358	NA	-0.44115	NA	0.94268	0.60377	0.65687	NA
"CYNR_POS"	0.65529	0.88598	NA	0.46055	0.94411	NA	0.65448	0.79573	NA
"CYSB_POS"	0.5013	0.89468	NA	-0.76546	NA	0.29981	-0.84919	NA	0.16975
"CYSB_REP"	0.82304	0.55346	NA	0.71769	0.69478	NA	0.5336	0.85602	NA
"CYTR_REP"	0.7761	0.53913	NA	0.49745	0.84647	NA	0.51071	0.78418	NA
"DAN_POS"	-0.61972	NA	0.83729	0.53607	0.89115	NA	-0.66619	NA	0.79969
"DCUR_POS"	0.91531	0.35029	NA	-0.83864	NA	0.46233	-0.699	NA	0.67077
"DEOR_REP"	0.78149	0.67875	NA	0.55757	0.84948	NA	-0.42101	NA	0.93015
"DHAR_POS"	-0.85336	NA	0.61148	0.4975	0.92366	NA	0.69711	0.75524	NA
"DICA_REP"	-0.65307	NA	0.83183	0.64844	0.82229	NA	-0.68941	NA	0.80518
"DINJ-YAFQ_REP"	-0.74253	NA	0.73968	0.48961	0.93004	NA	0.83622	0.50567	NA
"DNAA_DUAL"	0.58902	0.85884	NA	0.58488	0.87267	NA	0.50442	0.93285	NA
"DNAA_POS"	-0.79558	NA	0.6524	0.62368	0.81354	NA	-0.88631	NA	0.48042
"DNAA_REP"	-0.63775	NA	0.7103	0.60816	0.78031	NA	-0.73304	NA	0.60315
"DPIA_POS"	0.66415	0.7992	NA	-0.35844	NA	0.99887	-0.23804	NA	0.99707
"DSDC_POS"	0.74053	0.81825	NA	0.7574	0.77309	NA	-0.66912	NA	0.81818
"EBGR_REP"	0.79849	0.79428	NA	0.79612	0.75641	NA	0.84672	0.55994	NA
"ENVR_REP"	0.92658	0.5606	NA	0.89122	0.61889	NA	0.97948	0.41843	NA
"ENVY_POS"	-0.81511	NA	0.69774	-0.8707	NA	0.56628	0.93967	0.43195	NA
"EVGA_POS"	0.89193	0.18952	NA	-0.62695	NA	0.70644	-0.89284	NA	0.1845
"EXUR_REP"	-0.33061	NA	0.98221	0.68462	0.7058	NA	-0.45102	NA	0.91166
"FABR_REP"	-0.45785	NA	0.95981	0.85142	0.65974	NA	-0.62299	NA	0.85384
"FADR_POS"	-0.73624	NA	0.46559	0.72646	0.4767	NA	0.43314	0.93034	NA
"FADR_REP"	-0.68606	NA	0.64536	-0.43868	NA	0.9492	-0.41384	NA	0.93361
"FEAR_POS"	0.92283	0.54871	NA	0.46282	0.95058	NA	0.70564	0.791	NA
"FHLA_POS"	0.73358	0.45766	NA	0.23984	0.98894	NA	0.34474	0.94579	NA
"FIS_DUAL"	-0.74858	NA	0.77906	-0.87622	NA	0.55067	0.80742	0.6395	NA
"FIS_POS"	0.56626	0.75845	NA	0.42497	0.82029	NA	0.64009	0.23794	NA
"FIS_REP"	0.62543	0.55341	NA	-0.76131	NA	0.037257	-0.78633	NA	0.083895
"FLHDC_POS"	0.50154	0.82313	NA	-0.74278	NA	0.065478	0.62463	0.26286	NA
"FLHDC_REP"	-0.95361	NA	0.24354	0.81034	0.60378	NA	0.2973	0.99077	NA
"FLIZ_REP"	0.89241	0.16002	NA	-0.92051	NA	0.0349	-0.92818	NA	0.063446
"FNR_DUAL"	-0.45111	NA	0.88082	0.64123	0.71261	NA	0.76805	0.33766	NA
"FNR_POS"	0.49894	0.78845	NA	0.3196	0.89346	NA	-0.34803	NA	0.88278
"FNR_REP"	0.6567	0.40155	NA	-0.5301	NA	0.66301	0.62256	0.20814	NA
"FUCR_POS"	-0.41974	NA	0.9482	0.75371	0.6184	NA	-0.81544	NA	0.48734
"FUR_DUAL"	-0.47816	NA	0.92208	0.61386	0.82753	NA	0.78003	0.4969	NA
"FUR_POS"	-0.70955	NA	0.46277	-0.75104	NA	0.45871	0.72094	0.39456	NA
"FUR_REP"	-0.55273	NA	0.333	0.60602	0.37581	NA	-0.34514	NA	0.91955
"GADE_POS"	0.92474	0.13345	NA	-0.86061	NA	0.03873	-0.92328	NA	0.01355
"GADE-RCSB_POS"	0.87415	0.34375	NA	-0.8375	NA	0.3829	-0.93761	NA	0.19898
"GADW_DUAL"	0.95588	0.26992	NA	-0.96683	NA	0.091106	-0.98267	NA	0.17269
"GADW_POS"	0.98646	0.34244	NA	-0.96536	NA	0.28217	-0.992	NA	0.33686
"GADW_REP"	0.84681	0.62745	NA	-0.89677	NA	0.42963	-0.93371	NA	0.38713
"GADX_DUAL"	0.98244	0.34743	NA	-0.97428	NA	0.2524	-0.99481	NA	0.33491
"GADX_POS"	0.9201	0.22168	NA	-0.89001	NA	0.054139	-0.95487	NA	0.019837
"GADX_REP"	-0.96039	NA	0.30145	-0.77621	NA	0.68034	0.60481	0.85345	NA
"GALR_POS"	0.72057	0.79659	NA	-0.79246	NA	0.60841	-0.81447	NA	0.64152
"GALR_REP"	-0.80949	NA	0.31007	0.50432	0.8477	NA	-0.65668	NA	0.68966
"GALS_POS"	0.72057	0.79659	NA	-0.79246	NA	0.60841	-0.81447	NA	0.64152
"GALS_REP"	-0.80949	NA	0.31007	0.50432	0.8477	NA	-0.65668	NA	0.68966
"GATR_REP"	-0.90471	NA	0.29416	-0.62616	NA	0.82682	0.88314	0.36364	NA
"GCVA_DUAL"	-0.96241	NA	0.31951	0.75544	0.76201	NA	-0.86325	NA	0.59314
"GCVA_REP"	-0.96222	NA	0.22422	0.75563	0.72296	NA	-0.86347	NA	0.52712
"GLCC_POS"	0.54208	0.86442	NA	-0.93162	NA	0.22137	-0.4601	NA	0.9141
"GLPR_REP"	0.79344	0.54542	NA	0.68026	0.69178	NA	0.49394	0.87194	NA
"GNTR_REP"	0.70778	0.73957	NA	0.55043	0.81625	NA	0.82087	0.23749	NA
"GUTM_POS"	0.56566	0.86511	NA	0.90735	0.34753	NA	0.61595	0.79096	NA
"GUTR_REP"	0.56566	0.86511	NA	0.90735	0.34753	NA	0.61595	0.79096	NA
"HCAR_POS"	0.56644	0.87288	NA	-0.38867	NA	1	0.60221	0.7812	NA
"HDFR_POS"	-0.62538	NA	0.82671	0.56985	0.89382	NA	0.88155	0.44939	NA
"HDFR_REP"	0.62868	0.87874	NA	-0.70043	NA	0.80647	-0.60939	NA	0.85971
"HIPAB_REP"	-0.77256	NA	0.63836	-0.40599	NA	0.9993	0.36129	0.96913	NA
"HIPB_REP"	-0.48923	NA	0.90912	-0.60289	NA	0.84259	0.3212	0.98196	NA
"H-NS_POS"	-0.42588	NA	0.82572	-0.82683	NA	0.050161	-0.43127	NA	0.85926
"H-NS_REP"	0.8092	0.19203	NA	-0.74232	NA	0.045118	-0.77705	NA	0.053452
"HU_REP"	0.84099	0.49126	NA	0.82621	0.33612	NA	0.57766	0.77736	NA
"HYFR_POS"	0.70649	0.7377	NA	-0.49449	NA	0.88458	0.37373	0.97697	NA
"HYPT_POS"	0.68201	0.79154	NA	0.5572	0.81687	NA	-0.86498	NA	0.35956
"HYPT_REP"	-0.71372	NA	0.71559	0.7007	0.7711	NA	0.83851	0.42362	NA
"ICLR_REP"	-0.7616	NA	0.69048	-0.87493	NA	0.45155	0.89812	0.40588	NA
"IDNR_POS"	0.67512	0.8218	NA	0.38118	0.97506	NA	-0.40465	NA	0.94821
"IDNR_REP"	0.80445	0.78115	NA	0.72138	0.79225	NA	0.89147	0.50669	NA
"IHF_DUAL"	-0.79451	NA	0.69495	-0.98713	NA	0.23309	0.89862	0.4283	NA
"IHF_POS"	-0.38048	NA	0.79514	-0.64332	NA	0.23828	0.64316	0.23258	NA
"IHF_REP"	0.689	0.34381	NA	-0.47802	NA	0.81433	0.64752	0.2111	NA
"ISCR_POS"	-0.18999	NA	0.99988	-0.77579	NA	0.47091	-0.7471	NA	0.54685
"ISCR_REP"	0.74019	0.51959	NA	-0.669	NA	0.59419	-0.75035	NA	0.3914
"KDGR_REP"	0.70171	0.87149	NA	0.70283	0.79696	NA	0.83023	0.58205	NA
"KDPE_POS"	0.96761	0.37032	NA	-0.86483	NA	0.50931	-0.94634	NA	0.41035
"LACI_REP"	0.3862	0.98656	NA	-0.38675	NA	0.99073	0.39369	0.97677	NA
"LEUO_POS"	-0.89843	NA	0.040234	0.8902	0.27508	NA	-0.87396	NA	0.17123
"LEXA_REP"	-0.67406	NA	0.21214	0.86971	0.012261	NA	-0.58331	NA	0.64259
"LLDR_POS"	0.66237	0.88588	NA	0.6963	0.78509	NA	0.86991	0.46734	NA
"LLDR_REP"	0.66237	0.88588	NA	0.6963	0.78509	NA	0.86991	0.46734	NA
"LRHA_POS"	-0.78345	NA	0.71988	0.90165	0.57948	NA	-0.95199	NA	0.48177
"LRHA_REP"	0.62868	0.87874	NA	-0.70043	NA	0.80647	-0.60939	NA	0.85971
"LRP_POS"	-0.47726	NA	0.80135	-0.87574	NA	0.02024	-0.49035	NA	0.80937
"LRP_REP"	0.82522	0.16507	NA	-0.82983	NA	0.040986	-0.77835	NA	0.23914
"LSRR_REP"	0.68113	0.7983	NA	-0.80716	NA	0.48018	-0.82668	NA	0.42526
"MALI_REP"	-0.76805	NA	0.72024	0.86661	0.58014	NA	-0.67118	NA	0.82304
"MALT_POS"	-0.85507	NA	0.23985	-0.84988	NA	0.28341	0.90141	0.27449	NA
"MARA_POS"	0.86169	0.17783	NA	0.43846	0.8516	NA	0.74878	0.23582	NA
"MARA_REP"	0.92517	0.35407	NA	-0.90952	NA	0.24289	-0.97482	NA	0.17353
"MARR_REP"	0.93843	0.47445	NA	0.72763	0.77604	NA	0.93782	0.39482	NA
"MATA_POS"	-0.93646	NA	0.49208	-0.8136	NA	0.65126	0.6702	0.80449	NA
"MATA_REP"	0.5923	0.89481	NA	-0.83926	NA	0.46093	-0.68464	NA	0.70395
"MAZE_REP"	-0.68945	NA	0.79956	-0.40579	NA	0.99408	0.40564	0.97311	NA
"MAZE-MAZF_REP"	-0.68945	NA	0.79956	-0.40579	NA	0.99408	0.40564	0.97311	NA
"MCBR_POS"	0.93793	0.46962	NA	-0.93917	NA	0.34733	-0.96365	NA	0.39342
"MELR_POS"	0.81998	0.72043	NA	-0.71398	NA	0.77123	-0.73506	NA	0.73045
"MELR_REP"	0.81998	0.72043	NA	-0.71398	NA	0.77123	-0.73506	NA	0.73045
"METJ_REP"	-0.65414	NA	0.65221	0.70296	0.4922	NA	-0.88989	NA	0.17964
"METR_POS"	-0.77634	NA	0.66802	0.8584	0.49762	NA	-0.50294	NA	0.91964
"MHPR_POS"	0.70539	0.78585	NA	-0.51294	NA	0.91548	0.80587	0.44331	NA
"MLC_REP"	-0.82192	NA	0.29086	0.72644	0.57092	NA	0.42988	0.92844	NA
"MLRA_POS"	-0.87658	NA	0.25119	-0.82943	NA	0.45856	0.73696	0.47115	NA
"MNGR_REP"	0.4508	0.97179	NA	0.47373	0.93524	NA	0.42315	0.97459	NA
"MNTR_REP"	0.9335	0.47966	NA	-0.89586	NA	0.46519	-0.92664	NA	0.46865
"MODE_POS"	0.76728	0.3365	NA	0.62011	0.49999	NA	0.51636	0.68545	NA
"MODE_REP"	0.83446	0.34784	NA	0.65491	0.61012	NA	0.82478	0.24316	NA
"MPRA_REP"	0.90871	0.44377	NA	0.89767	0.33537	NA	0.97996	0.24086	NA
"MQSA_REP"	-0.44868	NA	0.94902	-0.78305	NA	0.62964	-0.61116	NA	0.82518
"MRAZ_REP"	0.38929	0.9567	NA	0.6405	0.60998	NA	0.32463	0.97361	NA
"MTLR_REP"	0.76213	0.78975	NA	0.7314	0.78495	NA	-0.91296	NA	0.47787
"MURR_REP"	-0.88133	NA	0.63115	0.64648	0.84149	NA	-0.74149	NA	0.76504
"NAC_POS"	0.85809	0.34948	NA	-0.92178	NA	0.057705	-0.87488	NA	0.2286
