"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO00670"	0.33822	1	NA	0.37563	1	NA	0.52962	0.60583	NA
"ECO00680"	0.40754	0.97333	NA	-0.38876	NA	0.90639	-0.46757	NA	0.81976
"ECO00730"	0.54061	0.89209	NA	-0.84443	NA	0.26955	-0.63744	NA	0.66168
"ECO00740"	0.34079	1	NA	0.61784	0.98143	NA	-0.45128	NA	0.93539
"ECO00750"	-0.79735	NA	0.36573	-0.41397	NA	0.96069	-0.36506	NA	0.96301
"ECO00760"	0.43087	0.9664	NA	0.38604	1	NA	0.62549	0.34483	NA
"ECO00770"	-0.46403	NA	0.78923	0.69053	0.46786	NA	-0.74064	NA	0.28554
"ECO00780"	-0.69135	NA	0.47956	-0.32984	NA	0.99398	-0.70253	NA	0.57133
"ECO00785"	0.59437	0.91672	NA	-0.68455	NA	0.82135	-0.70717	NA	0.7553
"ECO00790"	0.38118	1	NA	0.7413	0.44222	NA	0.64138	0.25067	NA
"ECO00860"	-0.61001	NA	0.48766	0.54637	0.90564	NA	-0.55303	NA	0.67291
"ECO00900"	0.75334	0.59438	NA	-0.46123	NA	0.87989	0.78702	0.21747	NA
"ECO00903"	0.61901	0.90174	NA	0.63043	0.95755	NA	0.86777	0.43451	NA
"ECO00910"	-0.77833	NA	0.13007	0.28094	1	NA	-0.56723	NA	0.65776
"ECO00920"	0.8475	0.2884	NA	0.62538	0.5924	NA	0.68055	0.19669	NA
"ECO00930"	0.61901	0.90174	NA	0.63043	0.95755	NA	0.86777	0.43451	NA
"ECO00970"	0.54438	0.84129	NA	0.35474	1	NA	-0.65028	NA	0.52352
"ECO01040"	0.55243	0.91422	NA	0.32789	1	NA	0.85093	0.29249	NA
"ECO01053"	0.36053	1	NA	-0.83046	NA	0.43597	0.83726	0.28325	NA
"ECO01100"	-0.3482	NA	0.69951	0.34325	1	NA	-0.38557	NA	0.72824
"ECO01110"	-0.33336	NA	0.77495	0.33617	0.98511	NA	-0.36863	NA	0.81913
"ECO01120"	-0.39951	NA	0.66212	-0.28396	NA	0.94334	-0.48212	NA	0.66527
"ECO01130"	-0.45812	NA	0.46094	-0.38424	NA	0.82003	-0.4072	NA	0.7353
"ECO01200"	0.47033	0.82752	NA	-0.4058	NA	0.81207	-0.55449	NA	0.51152
"ECO01210"	-0.45499	NA	0.77545	0.6841	0.44301	NA	-0.93803	NA	0.0014697
"ECO01212"	0.59061	0.80495	NA	0.35438	1	NA	0.50557	0.60312	NA
"ECO01220"	-0.44299	NA	0.84816	0.72109	0.48839	NA	-0.48417	NA	0.81853
"ECO01230"	-0.50834	NA	0.46033	0.38238	0.96937	NA	-0.70638	NA	0.1132
"ECO01501"	0.80648	0.45468	NA	-0.46719	NA	0.8609	-0.66577	NA	0.59819
"ECO01502"	0.86491	0.50516	NA	0.77567	0.58855	NA	-0.76376	NA	0.55693
"ECO01503"	0.74234	0.47497	NA	0.42475	0.97416	NA	-0.51157	NA	0.66742
"ECO02010"	0.63251	0.47364	NA	-0.69515	NA	0.15881	-0.49229	NA	0.66036
"ECO02020"	0.47865	0.79986	NA	0.4455	0.88486	NA	-0.41563	NA	0.75061
"ECO02024"	0.43609	0.90214	NA	-0.40745	NA	0.83438	-0.2763	NA	0.97004
"ECO02030"	0.61422	0.78922	NA	-0.65549	NA	0.55742	-0.57215	NA	0.67324
"ECO02040"	0.56666	0.79553	NA	-0.89405	NA	0.0041289	-0.78974	NA	0.1646
"ECO02060"	-0.57399	NA	0.46283	-0.37765	NA	0.90434	-0.64586	NA	0.38146
"ECO03010"	-0.37638	NA	0.81646	-0.59944	NA	0.50057	0.52268	0.36106	NA
"ECO03018"	0.90202	0.28113	NA	0.26469	1	NA	-0.28283	NA	0.99133
"ECO03020"	0.68085	0.83538	NA	-0.31671	NA	0.98595	-0.52024	NA	0.93426
"ECO03030"	0.86178	0.2433	NA	0.76536	0.53604	NA	0.7541	0.19149	NA
"ECO03060"	0.41744	0.97198	NA	-0.28936	NA	0.99956	0.56584	0.52176	NA
"ECO03070"	0.30198	1	NA	0.20687	1	NA	0.49601	0.57998	NA
"ECO03410"	0.76714	0.5897	NA	0.80827	0.64403	NA	-0.52219	NA	0.81223
"ECO03420"	0.8942	0.49008	NA	-0.59589	NA	0.82849	-0.6634	NA	0.67417
"ECO03430"	0.8337	0.2804	NA	0.611	0.77765	NA	0.72026	0.18399	NA
"ECO03440"	0.79875	0.30772	NA	0.49068	0.99676	NA	0.72854	0.25576	NA
"ECO04122"	0.72456	0.60562	NA	0.59819	0.85269	NA	-0.37344	NA	0.94455
"ACCB_REP"	-0.5552	NA	0.9142	-0.51173	NA	0.95483	0.80597	0.60046	NA
"ACRR_REP"	0.73084	0.77591	NA	0.59473	0.98625	NA	0.59538	0.60922	NA
"ADA_POS"	0.76416	0.79788	NA	-0.70849	NA	0.78863	-0.63503	NA	0.81943
"ADA_REP"	0.83766	0.7597	NA	-0.72246	NA	0.82032	-0.68413	NA	0.81016
"ADIY_POS"	-0.91869	NA	0.16907	-0.90917	NA	0.25954	-0.51038	NA	0.87352
"AGAR_REP"	-0.70759	NA	0.57087	0.85177	0.61721	NA	-0.77367	NA	0.51278
"ALLR_REP"	-0.31168	NA	0.99362	0.64799	0.86106	NA	-0.42739	NA	0.94309
"ALLS_POS"	-0.82333	NA	0.65999	0.87326	0.73384	NA	-0.56593	NA	0.93202
"ALSR_REP"	-0.75208	NA	0.61715	0.91448	0.50735	NA	-0.94511	NA	0.28883
"APPY_POS"	0.37801	1	NA	-0.56746	NA	0.81264	-0.49386	NA	0.90987
"ARAC_POS"	0.65606	0.79776	NA	0.65583	0.85435	NA	-0.55407	NA	0.80978
"ARAC_REP"	0.60174	0.85733	NA	0.36157	1	NA	-0.6455	NA	0.66649
"ARCA_POS"	0.43282	0.90575	NA	0.32633	1	NA	-0.43258	NA	0.80986
"ARCA_REP"	0.50099	0.77016	NA	-0.37654	NA	0.85473	0.48328	0.37708	NA
"ARGP_POS"	-0.73801	NA	0.40811	-0.30319	NA	1	0.66248	0.33879	NA
"ARGR_POS"	-0.85047	NA	0.45396	0.60554	0.97032	NA	-0.48196	NA	0.93437
"ARGR_REP"	-0.52361	NA	0.65402	0.51755	0.91276	NA	-0.32335	NA	0.95205
"ARSR_REP"	-0.93737	NA	0.45307	0.63732	0.96401	NA	-0.58593	NA	0.87708
"ASCG_REP"	0.70492	0.79844	NA	0.94632	1	NA	0.37031	0.95194	NA
"ASNC_REP"	0.6082	0.90298	NA	0.62712	0.95394	NA	0.88388	0.39524	NA
"ATOC_POS"	-0.5112	NA	0.91107	0.39266	1	NA	-0.46233	NA	0.95427
"BAER_POS"	0.82327	0.56522	NA	0.72211	0.75013	NA	-0.7201	NA	0.65532
"BASR_POS"	-0.85088	NA	0.19367	0.75862	0.48459	NA	-0.60187	NA	0.68677
"BASR_REP"	0.94122	0.61379	NA	-0.98054	NA	0.46663	-0.88936	NA	0.66019
"BETI_REP"	0.91376	0.57927	NA	0.76761	0.84299	NA	0.92202	0.23203	NA
"BIRA_REP"	0.59602	0.89698	NA	0.52705	0.99735	NA	0.67128	0.61349	NA
"BLUR_REP"	-0.69113	NA	0.74691	0.59723	0.97212	NA	-0.53175	NA	0.92101
"BOLA_DUAL"	0.96305	0.57599	NA	-0.51297	NA	0.95915	-0.36344	NA	0.99333
"CADC_POS"	-0.70543	NA	0.76829	0.65114	0.9872	NA	-0.47761	NA	0.95096
"CAIF_POS"	-0.56939	NA	0.7551	0.63632	0.8725	NA	-0.62219	NA	0.66673
"CBL_POS"	0.89287	0.45551	NA	0.82237	0.45594	NA	0.94904	0.18272	NA
"CDAR_POS"	0.87676	0.45112	NA	0.64817	0.86878	NA	-0.67855	NA	0.6648
"CHBR_POS"	-0.92732	NA	0.19235	0.85136	0.44729	NA	-0.85459	NA	0.38788
"CHBR_REP"	-0.92732	NA	0.19235	0.85136	0.44729	NA	-0.85459	NA	0.38788
"CPXR_POS"	0.67445	0.56666	NA	-0.34966	NA	0.94626	-0.55171	NA	0.67374
"CPXR_REP"	0.42236	0.96885	NA	-0.50762	NA	0.81399	0.3196	0.92647	NA
"CRA_POS"	0.6587	0.76342	NA	-0.44549	NA	0.85682	-0.55284	NA	0.67482
"CRA_REP"	-0.77518	NA	0.014678	-0.55445	NA	0.60671	-0.56256	NA	0.60165
"CREB_POS"	0.35441	1	NA	0.41599	1	NA	-0.55717	NA	0.94146
"CREB_REP"	-0.854	NA	0.57853	-0.98024	NA	0.42686	0.93014	0.29657	NA
"CRP_DUAL"	0.52331	0.85339	NA	0.27715	1	NA	-0.55805	NA	0.67849
"CRP_POS"	0.40422	0.85192	NA	-0.45482	NA	0.56566	-0.436	NA	0.65463
"CRP_REP"	0.40471	0.90578	NA	-0.43384	NA	0.81616	-0.50513	NA	0.64185
"CSGD_POS"	-0.81391	NA	0.19304	-0.4495	NA	0.89153	0.31633	0.94008	NA
"CSGD_REP"	0.60638	0.79163	NA	-0.86014	NA	0.24652	-0.72737	NA	0.41562
"CSIR_REP"	-0.57703	NA	0.82216	-0.50346	NA	0.89778	-0.49122	NA	0.93958
"CSPA_POS"	-0.7984	NA	0.70087	-0.4069	NA	1	0.40331	0.97887	NA
"CUER_POS"	0.95456	0.57778	NA	-0.86441	NA	0.64243	-0.96468	NA	0.50909
"CUER_REP"	0.89279	0.56723	NA	0.47998	1	NA	-0.71584	NA	0.67355
"CUSR_POS"	0.6267	0.78674	NA	-0.63024	NA	0.7142	-0.79771	NA	0.29809
"CYNR_POS"	0.82486	0.80251	NA	0.81319	0.76118	NA	-0.59437	NA	0.87346
"CYSB_POS"	0.83213	0.26088	NA	0.56632	0.87604	NA	0.55186	0.51775	NA
"CYSB_REP"	0.90017	0.44411	NA	0.80198	0.52963	NA	0.90072	0.17088	NA
"CYTR_REP"	0.5021	0.92126	NA	0.46182	0.99536	NA	-0.54557	NA	0.78098
"DAN_POS"	-0.51284	NA	0.91432	0.53536	0.99862	NA	0.31436	0.98532	NA
"DCUR_POS"	0.61154	0.85218	NA	-0.69946	NA	0.67777	-0.70886	NA	0.67463
"DEOR_REP"	-0.30655	NA	0.99808	-0.60144	NA	0.81236	-0.72698	NA	0.69248
"DHAR_POS"	0.75791	0.79175	NA	-0.917	NA	0.46401	-0.63958	NA	0.8104
"DICA_REP"	-0.6375	NA	0.80666	0.68419	0.99197	NA	-0.79796	NA	0.65452
"DINJ-YAFQ_REP"	0.37895	1	NA	-0.71075	NA	0.80665	-0.80924	NA	0.68542
"DNAA_DUAL"	0.778	0.80014	NA	0.69392	0.96285	NA	0.82867	0.50651	NA
"DNAA_POS"	-0.31109	NA	0.99327	0.58863	0.96978	NA	-0.35172	NA	0.98974
"DNAA_REP"	0.65237	0.79886	NA	0.54672	0.96689	NA	0.64773	0.51646	NA
"DPIA_POS"	0.36937	1	NA	0.338	1	NA	-0.43958	NA	0.9412
"DSDC_POS"	-0.78538	NA	0.70557	0.72709	0.96556	NA	-0.70338	NA	0.80737
"EBGR_REP"	-0.54458	NA	0.92022	0.85829	0.73369	NA	0.50086	0.92415	NA
"ENVR_REP"	-0.78958	NA	0.71333	0.86737	0.74522	NA	-0.70536	NA	0.81555
"ENVY_POS"	-0.52402	NA	0.94029	-0.77483	NA	0.77358	-0.8498	NA	0.69244
"EVGA_POS"	0.58278	0.82013	NA	-0.44237	NA	0.88447	-0.68132	NA	0.57235
"EXUR_REP"	0.81144	0.60228	NA	0.37217	1	NA	-0.60199	NA	0.75492
"FABR_REP"	0.85182	0.78059	NA	-0.37455	NA	1	-0.82225	NA	0.66772
"FADR_POS"	0.71554	0.76833	NA	-0.39818	NA	0.95871	-0.54172	NA	0.79871
"FADR_REP"	0.86793	0.43638	NA	0.467	0.99752	NA	0.72941	0.29325	NA
"FEAR_POS"	-0.73974	NA	0.76115	0.78751	0.89145	NA	-0.74956	NA	0.73683
"FHLA_POS"	0.60011	0.76374	NA	0.4782	0.99708	NA	-0.65888	NA	0.42115
"FIS_DUAL"	-0.87192	NA	0.62855	-0.72462	NA	0.8236	-0.5746	NA	0.92688
"FIS_POS"	-0.53338	NA	0.48953	-0.47516	NA	0.78577	0.39157	0.70343	NA
"FIS_REP"	-0.43098	NA	0.70906	0.3343	1	NA	-0.39814	NA	0.80552
"FLHDC_POS"	0.54042	0.77379	NA	-0.81058	NA	0.011122	-0.67693	NA	0.22208
"FLHDC_REP"	-0.81456	NA	0.58652	-0.78169	NA	0.6474	-0.78495	NA	0.70298
"FLIZ_REP"	-0.60773	NA	0.57053	-0.87267	NA	0.16127	-0.70812	NA	0.42126
"FNR_DUAL"	-0.62571	NA	0.64375	-0.43761	NA	0.90062	-0.80624	NA	0.2788
"FNR_POS"	0.40183	0.88766	NA	0.57747	0.73781	NA	-0.55993	NA	0.38669
"FNR_REP"	-0.45634	NA	0.62701	0.27675	1	NA	-0.51472	NA	0.662
"FUCR_POS"	0.67826	0.79479	NA	0.51193	0.9966	NA	-0.6527	NA	0.67928
"FUR_DUAL"	-0.77707	NA	0.60771	-0.83607	NA	0.50292	0.58082	0.71437	NA
"FUR_POS"	-0.50003	NA	0.7783	0.41796	1	NA	0.63497	0.35759	NA
"FUR_REP"	0.62804	0.51885	NA	-0.48947	NA	0.68792	-0.46116	NA	0.67281
"GADE_POS"	-0.58514	NA	0.50823	-0.79748	NA	0.26262	-0.68715	NA	0.39484
"GADE-RCSB_POS"	0.25973	0.99282	NA	-0.4865	NA	0.87997	-0.63449	NA	0.66751
"GADW_DUAL"	-0.6532	NA	0.70315	-0.93546	NA	0.26221	0.37883	0.92671	NA
"GADW_POS"	0.87905	0.64089	NA	-0.97408	NA	0.41147	-0.95317	NA	0.4097
"GADW_REP"	0.79651	0.76779	NA	-0.92375	NA	0.4324	-0.75923	NA	0.65754
"GADX_DUAL"	-0.66206	NA	0.78857	-0.9748	NA	0.42401	0.48024	0.92578	NA
"GADX_POS"	-0.4188	NA	0.84715	-0.78858	NA	0.25836	-0.76331	NA	0.31445
"GADX_REP"	-0.67684	NA	0.78078	0.65207	0.99209	NA	0.75381	0.60637	NA
"GALR_POS"	0.94638	0.49214	NA	0.90137	0.45338	NA	0.73573	0.57232	NA
"GALR_REP"	0.71703	0.78463	NA	0.80953	0.47864	NA	0.4259	0.87427	NA
"GALS_POS"	0.94638	0.49214	NA	0.90137	0.45338	NA	0.73573	0.57232	NA
"GALS_REP"	0.71703	0.78463	NA	0.80953	0.47864	NA	0.4259	0.87427	NA
"GATR_REP"	0.41488	1	NA	-0.88617	NA	0.42949	0.59764	0.70352	NA
"GCVA_DUAL"	-0.73493	NA	0.72874	-0.73987	NA	0.78883	0.69435	0.67426	NA
"GCVA_REP"	-0.57273	NA	0.84986	-0.74005	NA	0.71672	-0.70612	NA	0.69525
"GLCC_POS"	-0.89864	NA	0.26189	-0.92413	NA	0.27884	0.94584	0.25921	NA
"GLPR_REP"	0.72422	0.80149	NA	0.43532	1	NA	-0.67845	NA	0.65885
"GNTR_REP"	-0.7372	NA	0.44083	0.75918	0.45657	NA	-0.5605	NA	0.75457
"GUTM_POS"	0.93239	0.48083	NA	-0.87642	NA	0.43899	-0.77212	NA	0.65759
"GUTR_REP"	0.93239	0.48083	NA	-0.87642	NA	0.43899	-0.77212	NA	0.65759
"HCAR_POS"	-0.61365	NA	0.79227	0.84007	0.53289	NA	-0.40218	NA	0.97695
"HDFR_POS"	-0.95208	NA	0.40579	-0.69293	NA	0.82284	0.6375	0.71598	NA
"HDFR_REP"	0.52877	0.97333	NA	-0.58508	NA	0.89956	0.51939	0.93527	NA
"HIPAB_REP"	-0.77182	NA	0.62259	0.70537	0.87987	NA	-0.80152	NA	0.65677
"HIPB_REP"	0.76922	0.8109	NA	0.42732	1	NA	-0.75183	NA	0.66365
"H-NS_POS"	0.46977	0.88897	NA	-0.49967	NA	0.77327	-0.56233	NA	0.66227
"H-NS_REP"	0.59465	0.61485	NA	-0.39661	NA	0.82006	-0.50613	NA	0.65809
"HU_REP"	0.85067	0.51579	NA	0.83182	0.44571	NA	0.6944	0.47288	NA
"HYFR_POS"	0.62003	0.80684	NA	0.53934	0.98111	NA	-0.47331	NA	0.87255
"HYPT_POS"	0.66351	0.79831	NA	-0.29112	NA	1	-0.64562	NA	0.67087
"HYPT_REP"	0.29832	0.99795	NA	-0.3087	NA	0.98962	0.87642	0.24336	NA
"ICLR_REP"	0.91852	0.57639	NA	-0.70201	NA	0.78307	-0.76544	NA	0.65237
"IDNR_POS"	-0.911	NA	0.33162	0.9132	0.49134	NA	-0.79684	NA	0.65659
"IDNR_REP"	0.6856	0.85566	NA	0.86812	0.75234	NA	0.79278	0.59781	NA
"IHF_DUAL"	-0.67441	NA	0.77506	-0.88335	NA	0.53663	0.66675	0.707	NA
"IHF_POS"	0.53928	0.77205	NA	0.50389	0.6305	NA	-0.53153	NA	0.51896
"IHF_REP"	-0.40767	NA	0.76402	0.61588	0.47377	NA	-0.49187	NA	0.6473
"ISCR_POS"	0.90776	0.26494	NA	-0.88928	NA	0.30318	-0.54949	NA	0.81643
"ISCR_REP"	-0.20337	NA	0.99534	0.19463	0.99981	NA	0.22705	0.97693	NA
"KDGR_REP"	0.75747	0.80387	NA	-0.87256	NA	0.64307	-0.80407	NA	0.67095
"KDPE_POS"	0.80255	0.76399	NA	0.94689	0.46299	NA	-0.34373	NA	0.99058
"LACI_REP"	0.84987	0.77195	NA	-0.42268	NA	1	-0.58177	NA	0.88321
"LEUO_POS"	-0.3063	NA	0.97288	0.55783	0.94484	NA	-0.77797	NA	0.30115
"LEXA_REP"	0.7846	0.27469	NA	-0.39631	NA	0.85174	-0.36003	NA	0.91018
"LLDR_POS"	0.9412	0.57147	NA	0.93651	0.44103	NA	0.97307	0.21965	NA
"LLDR_REP"	0.9412	0.57147	NA	0.93651	0.44103	NA	0.97307	0.21965	NA
"LRHA_POS"	-0.97799	NA	0.47693	0.92847	0.52447	NA	-0.8758	NA	0.66317
"LRHA_REP"	0.52877	0.97333	NA	-0.58508	NA	0.89956	0.51939	0.93527	NA
"LRP_POS"	-0.80472	NA	0.031875	0.4297	0.9639	NA	-0.52648	NA	0.67849
"LRP_REP"	0.418	0.93833	NA	0.64582	0.47703	NA	-0.73972	NA	0.24724
"LSRR_REP"	0.36003	1	NA	0.47333	0.99311	NA	-0.61354	NA	0.70306
"MALI_REP"	-0.49329	NA	0.94193	0.43258	1	NA	-0.80023	NA	0.66228
"MALT_POS"	-0.89023	NA	0.19888	-0.9705	NA	0.20219	0.96262	0.39433	NA
"MARA_POS"	0.50278	0.84603	NA	-0.38248	NA	0.90522	-0.54749	NA	0.66786
"MARA_REP"	-0.48207	NA	0.88324	-0.9358	NA	0.28076	-0.72916	NA	0.65914
"MARR_REP"	0.83025	0.82044	NA	-0.89295	NA	0.5165	-0.49076	NA	0.95056
"MATA_POS"	-0.94246	NA	0.47207	0.66362	0.95864	NA	-0.80872	NA	0.67323
"MATA_REP"	0.68122	0.8022	NA	-0.84916	NA	0.43746	-0.79701	NA	0.58905
"MAZE_REP"	-0.82025	NA	0.61244	0.77656	0.83592	NA	-0.6455	NA	0.80198
"MAZE-MAZF_REP"	-0.82025	NA	0.61244	0.77656	0.83592	NA	-0.6455	NA	0.80198
"MCBR_POS"	0.69738	0.84916	NA	0.57806	1	NA	0.70226	0.66355	NA
"MELR_POS"	0.81821	0.76623	NA	-0.4418	NA	0.99322	-0.80808	NA	0.66398
"MELR_REP"	0.81821	0.76623	NA	-0.4418	NA	0.99322	-0.80808	NA	0.66398
"METJ_REP"	-0.46971	NA	0.81805	0.78274	0.57362	NA	-0.40541	NA	0.93451
"METR_POS"	-0.59471	NA	0.81425	0.32244	1	NA	-0.7827	NA	0.69245
"MHPR_POS"	-0.73228	NA	0.65173	0.57387	0.96039	NA	-0.6577	NA	0.69722
"MLC_REP"	-0.78814	NA	0.37862	-0.8218	NA	0.43481	-0.85213	NA	0.30803
"MLRA_POS"	-0.89952	NA	0.19516	-0.75797	NA	0.54517	0.80123	0.28156	NA
"MNGR_REP"	-0.44419	NA	0.96194	0.80763	0.78052	NA	-0.65062	NA	0.81201
"MNTR_REP"	0.66962	0.85253	NA	-0.40687	NA	0.99744	-0.67342	NA	0.81855
"MODE_POS"	0.56994	0.79191	NA	0.48681	0.99386	NA	-0.45565	NA	0.82319
"MODE_REP"	0.89495	0.24057	NA	0.43608	0.99659	NA	-0.69221	NA	0.58267
"MPRA_REP"	-0.32359	NA	1	0.78194	0.73901	NA	-0.40181	NA	0.97366
"MQSA_REP"	0.63936	0.86627	NA	-0.88598	NA	0.47423	-0.70666	NA	0.69758
"MRAZ_REP"	0.72398	0.59166	NA	0.74232	0.42909	NA	0.4553	0.71021	NA
"MTLR_REP"	-0.84045	NA	0.61468	0.72628	0.91686	NA	-0.95158	NA	0.40767
"MURR_REP"	0.45715	1	NA	-0.89108	NA	0.60513	-0.88315	NA	0.64932
"NAC_POS"	-0.58624	NA	0.70245	-0.78528	NA	0.43425	0.3139	0.95909	NA
"NAC_REP"	-0.87119	NA	0.19678	-0.75816	NA	0.50779	0.86103	0.24166	NA
"NADR_REP"	-0.616	NA	0.8224	-0.88248	NA	0.4693	0.78885	0.50652	NA
