	MG1655-1	IBUA8-3_1	phoU-1	cheR-1	rph-1	MG1655-2	IBUA8-3_2	phoU-2	cheR-2	rph-2	MG1655-3	IBUA8-3_3	phoU-3	cheR-3	rph-3
10.00593	0.648	7.718	0.637	0.557	0.556	0.716	11.557	0.586	0.7509999999999999	0.654	0.615	13.600999999999999	0.45799999999999996	0.491	0.163
10.17256	0.5770000000000001	8.791	0.7609999999999999	0.748	0.485	0.513	12.136	0.6459999999999999	0.647	0.648	0.479	14.737	0.452	0.715	0.091
10.33934	0.648	9.392000000000001	0.736	0.721	0.425	0.716	13.165999999999999	0.685	0.7509999999999999	0.654	0.615	15.833	0.524	0.82	0.261
10.50602	0.5660000000000001	9.262	0.615	0.637	0.40700000000000003	0.502	14.047	0.7659999999999999	0.831	0.5379999999999999	0.5660000000000001	16.415	0.5379999999999999	0.8009999999999999	0.276
10.67271	0.441	10.519	0.721	0.643	0.446	0.639	15.142000000000001	0.7709999999999999	0.9359999999999999	0.5760000000000001	0.506	16.987000000000002	0.544	0.61	0.184
10.8393	0.495	11.287	0.652	0.635	0.47	0.563	14.899000000000001	0.795	0.73	0.502	0.626	17.7	0.667	0.7340000000000001	0.174
11.0062	0.446	11.744000000000002	0.63	0.551	0.485	0.513	16.829	0.745	0.647	0.484	0.61	17.788	0.7140000000000001	0.7809999999999999	0.255
11.1727	0.583	11.985999999999999	0.736	0.754	0.589	0.716	17.401	0.75	0.62	0.654	0.6809999999999999	19.543	0.556	0.59	0.195
11.33949	0.495	12.995999999999999	0.652	0.6679999999999999	0.601	0.662	18.35	0.6970000000000001	0.632	0.5670000000000001	0.528	20.625	0.634	0.799	0.109
11.50608	0.495	13.488	0.652	0.6679999999999999	0.43700000000000006	0.53	18.711	0.6970000000000001	0.632	0.6659999999999999	0.626	22.201999999999998	0.667	0.7340000000000001	0.273
11.67273	0.451	14.448	0.637	0.524	0.491	0.552	19.732	0.8490000000000001	0.718	0.588	0.484	23.318	0.556	0.623	0.195
11.83952	0.479	14.894	0.728	0.616	0.419	0.415	20.537	0.745	0.647	0.5820000000000001	0.61	23.859	0.649	0.518	0.255
12.00626	0.446	15.977	0.7609999999999999	0.715	0.55	0.546	21.718000000000004	0.777	0.614	0.484	0.61	24.318	0.649	0.617	0.19
12.17277	0.509	16.448	0.7040000000000001	0.65	0.518	0.643	22.796	0.711	0.68	0.5820000000000001	0.542	25.435	0.6829999999999999	0.618	0.28800000000000003
12.33958	0.503	17.552	0.795	0.743	0.512	0.539	22.647	0.7709999999999999	0.6409999999999999	0.478	0.602	27.653000000000002	0.742	0.71	0.21600000000000003
12.50621	0.484	18.125	0.637	0.524	0.45799999999999996	0.519	24.951999999999998	0.8490000000000001	0.718	0.555	0.583	28.701999999999998	0.622	0.623	0.261
12.67281	0.495	19.305	0.7509999999999999	0.733	0.43700000000000006	0.563	25.546	0.762	0.73	0.6	0.594	28.116999999999997	0.634	0.701	0.273
12.83956	0.544	20.046	0.728	0.551	0.419	0.513	26.804000000000002	0.745	0.647	0.451	0.5770000000000001	30.651999999999997	0.7140000000000001	0.617	0.28800000000000003
13.00623	0.599	20.044	0.89	0.6409999999999999	0.607	0.634	28.261	0.8009999999999999	0.736	0.508	0.698	31.523000000000003	0.6729999999999999	0.608	0.27899999999999997
13.17298	0.405	21.301	0.861	0.677	0.446	0.637	29.06	0.804	0.7390000000000001	0.478	0.733	30.153000000000002	0.742	0.907	0.282
13.3397	0.574	22.958000000000002	0.823	0.6459999999999999	0.41600000000000004	0.7070000000000001	28.631999999999998	0.84	0.7090000000000001	0.645	0.6729999999999999	32.938	0.843	0.614	0.252
13.50635	0.484	23.772	0.8340000000000001	0.623	0.45799999999999996	0.617	30.73	0.9470000000000001	0.653	0.49	0.517	34.513000000000005	0.852	0.59	0.294
13.67302	0.462	24.366	0.784	0.635	0.43700000000000006	0.563	29.785999999999998	0.861	0.665	0.5670000000000001	0.6920000000000001	34.098	0.93	0.602	0.207
13.83969	0.47600000000000003	26.483	0.9009999999999999	0.65	0.584	0.544	32.469	0.9740000000000001	0.8440000000000001	0.5820000000000001	0.706	30.634	0.847	0.552	0.28800000000000003
14.00637	0.61	26.921	0.971	0.653	0.521	0.58	33.105	0.879	0.88	0.48700000000000004	0.61	29.393	0.883	0.818	0.389
14.17295	0.48700000000000004	27.326999999999998	0.937	0.823	0.461	0.522	33.794000000000004	0.852	0.82	0.493	0.782	27.859	0.8220000000000001	0.593	0.363
14.3398	0.495	27.421999999999997	0.8490000000000001	0.569	0.43700000000000006	0.53	33.335	0.992	0.632	0.6	0.7909999999999999	29.925	0.733	0.7340000000000001	0.37200000000000005
14.50643	0.561	29.229	0.981	0.536	0.43700000000000006	0.662	27.846999999999998	0.9590000000000001	0.763	0.502	0.594	30.516	0.93	0.602	0.207
14.6731	0.479	30.054000000000002	0.86	0.616	0.353	0.513	27.493000000000002	0.941	0.5479999999999999	0.451	0.5770000000000001	32.292	0.813	0.584	0.255
14.83979	0.5660000000000001	30.465999999999998	0.89	0.674	0.47600000000000003	0.569	28.524	0.965	0.6709999999999999	0.508	0.731	30.930999999999997	0.9359999999999999	0.8059999999999999	0.575
15.00652	0.501	31.156	0.89	0.674	0.509	0.569	31.285	0.965	0.736	0.475	0.698	29.879	1.035	0.7070000000000001	0.312
15.17314	0.5529999999999999	32.253	1.1340000000000001	0.527	0.494	0.62	31.824	0.983	0.754	0.46	0.585	30.19	0.9209999999999999	0.593	0.395
15.33986	0.561	31.004	1.047	0.733	0.503	0.563	31.264	1.091	0.763	0.5670000000000001	0.6920000000000001	30.319000000000003	1.062	0.7340000000000001	0.47
15.50648	0.55	30.272	0.9329999999999999	0.655	0.655	0.519	33.946999999999996	1.046	0.718	0.457	0.812	30.738000000000003	0.9179999999999999	0.721	0.36
15.67328	0.49200000000000005	27.511	0.9440000000000001	0.5660000000000001	0.598	0.659	30.86	0.9890000000000001	0.662	0.564	0.722	31.886	1.157	0.599	0.467
15.83984	0.462	25.943	0.784	0.6679999999999999	0.503	0.46399999999999997	30.87	0.992	0.665	0.502	0.8240000000000001	29.531	1.0290000000000001	0.536	0.47
16.00651	0.501	29.840999999999998	0.9890000000000001	0.74	0.509	0.733	32.568000000000005	1.097	0.6709999999999999	0.573	0.9279999999999999	32.082	1.1340000000000001	0.838	0.37799999999999995
16.17325	0.49200000000000005	32.209	1.0759999999999998	0.665	0.5	0.659	33.291	1.351	0.826	0.564	0.7879999999999999	31.853	1.2229999999999999	0.698	0.5
16.33992	0.49200000000000005	30.829	1.0759999999999998	0.632	0.467	0.626	30.564	1.1540000000000001	0.9570000000000001	0.499	0.7879999999999999	31.985	1.124	0.8290000000000001	0.5
16.50658	0.561	30.708000000000002	1.145	0.569	0.503	0.563	33.302	1.288	0.665	0.6659999999999999	0.8240000000000001	30.385	1.127	0.799	0.40399999999999997
16.67316	0.5529999999999999	29.526999999999997	1.035	0.7240000000000001	0.461	0.752	30.642	1.147	0.82	0.493	0.815	32.586999999999996	1.0190000000000001	0.79	0.395
16.83999	0.561	29.951999999999998	0.981	0.635	0.47	0.563	30.344	1.157	0.927	0.5670000000000001	0.889	30.055999999999997	1.16	0.9309999999999999	0.40399999999999997
17.00659	0.561	29.459	1.079	0.6679999999999999	0.568	0.662	31.33	1.255	0.927	0.5670000000000001	0.988	30.516	1.127	0.7340000000000001	0.40399999999999997
17.17344	0.48700000000000004	30.085	1.035	0.7240000000000001	0.461	0.62	30.215	1.147	0.754	0.5579999999999999	0.9790000000000001	31.372	1.0190000000000001	0.626	0.494
17.33994	0.6509999999999999	29.494	1.166	0.6579999999999999	0.5589999999999999	0.7190000000000001	28.573	1.18	0.754	0.5579999999999999	0.9790000000000001	32.719	1.216	0.823	0.461
17.50668	0.544	31.17	1.122	0.715	0.452	0.612	30.676	1.171	0.8109999999999999	0.648	1.069	30.421999999999997	1.141	0.7809999999999999	0.583
17.67334	0.5529999999999999	30.808000000000003	1.068	0.7240000000000001	0.494	0.653	31.101	1.246	0.754	0.46	1.111	31.274	1.315	0.691	0.56
17.84004	0.747	30.699	1.031	0.82	0.491	0.65	30.993000000000002	1.276	0.915	0.654	0.9109999999999999	29.884	1.147	0.721	0.655
18.00668	0.665	31.156	1.153	0.871	0.607	0.7659999999999999	31.088	1.196	0.835	0.606	0.9279999999999999	31.49	1.166	0.904	0.509
18.17333	0.599	29.052	1.35	0.74	0.509	0.667	31.186999999999998	1.36	0.868	0.672	0.9940000000000001	30.636	1.265	0.904	0.47600000000000003
18.3401	0.46799999999999997	28.658	1.153	0.674	0.47600000000000003	0.667	34.705	1.36	0.934	0.573	1.125	31.326	1.265	0.904	0.41
18.50678	0.665	30.531999999999996	1.087	0.773	0.509	0.733	31.647	1.196	0.868	0.606	1.026	31.785999999999998	1.265	0.904	0.6729999999999999
18.67351	0.6920000000000001	30.708000000000002	1.244	0.7659999999999999	0.47	0.727	32.611999999999995	1.452	0.927	0.6659999999999999	1.119	31.371	1.357	0.7340000000000001	0.569
18.84022	0.6920000000000001	29.854	1.047	0.733	0.601	0.76	32.71	1.354	0.96	0.6990000000000001	1.185	30.023000000000003	1.357	0.9309999999999999	0.7
19.00679	0.585	30.118000000000002	1.166	0.757	0.5589999999999999	0.752	31.824	1.5419999999999998	1.0170000000000001	0.657	1.111	32.095	1.315	1.02	0.494
19.17347	0.775	29.718000000000004	1.3	1.048	0.488	0.778	30.439	1.57	0.88	0.585	1.137	32.025999999999996	1.475	0.95	0.6859999999999999
19.34012	0.6729999999999999	32.044000000000004	1.197	0.7490000000000001	0.715	0.873	31.12	1.501	0.877	0.615	1.298	29.614	1.3730000000000002	0.848	0.584
19.50695	0.6729999999999999	30.563000000000002	1.263	0.7490000000000001	0.584	0.873	34.048	1.369	1.041	0.7140000000000001	1.232	30.568	1.3730000000000002	0.9470000000000001	0.584
19.67356	0.764	31.025	1.35	0.871	0.575	0.7659999999999999	32.568000000000005	1.36	1.032	0.672	1.1909999999999998	32.641	1.364	1.003	0.608
19.84025	0.706	31.287	1.296	0.782	0.617	0.84	30.33	1.402	0.877	0.7140000000000001	1.298	30.568	1.538	1.045	0.8140000000000001
20.00697	0.78	30.298000000000002	1.308	0.7909999999999999	0.626	0.8490000000000001	31.217	1.5759999999999998	1.051	0.789	1.2409999999999999	30.401	1.6469999999999998	1.055	0.7909999999999999
20.17363	0.706	30.596	1.3619999999999999	0.8809999999999999	0.617	0.84	33.785	1.567	0.778	0.78	1.496	30.666999999999998	1.67	1.045	0.617
20.34033	0.723	31.548000000000002	1.287	0.9	0.536	0.9570000000000001	31.875	1.6840000000000002	1.159	0.633	1.4480000000000002	32.376	1.459	1.031	0.7340000000000001
20.50702	0.772	31.089000000000002	1.197	0.848	0.682	0.9390000000000001	31.909000000000002	1.6980000000000002	0.976	0.78	1.331	31.522	1.571	1.111	0.6829999999999999
20.67363	0.7909999999999999	31.331999999999997	1.178	0.9309999999999999	0.7659999999999999	0.925	32.546	1.65	1.0590000000000002	0.797	1.317	31.765	1.653	1.227	0.799
20.8403	0.747	30.305	1.36	0.852	0.753	0.9129999999999999	31.19	1.538	1.014	0.752	1.37	31.723000000000003	1.64	1.0170000000000001	0.589
21.007	0.865	31.233	1.3869999999999998	0.8740000000000001	0.61	0.966	31.099	1.758	1.2329999999999999	0.807	1.4240000000000002	30.745	1.564	1.105	0.8079999999999999
21.17368	0.706	30.497	1.263	0.848	0.682	0.972	30.691999999999997	1.6980000000000002	1.074	0.7140000000000001	1.496	31.358	1.768	1.111	0.88
21.34037	0.772	31.089000000000002	1.296	0.946	0.584	0.873	32.172	1.764	0.943	0.879	1.496	31.16	1.735	1.111	0.88
21.50708	0.78	31.186999999999998	1.505	0.857	0.6920000000000001	0.981	31.941	1.5759999999999998	1.051	0.888	1.505	30.204	1.6469999999999998	1.121	0.6920000000000001
21.67376	0.84	29.595	1.319	1.043	0.6809999999999999	0.94	31.3	1.7619999999999998	1.139	0.845	1.463	31.308000000000003	1.732	1.0759999999999998	0.879
21.84039	0.871	31.682	1.4609999999999999	0.9790000000000001	0.7809999999999999	0.9390000000000001	30.034000000000002	1.896	0.976	0.78	1.6269999999999998	31.851	1.67	1.4069999999999998	0.8140000000000001
22.00707	0.961	31.945	1.482	0.97	0.6729999999999999	1.062	32.666	1.689	1.131	0.8690000000000001	1.6840000000000002	32.247	1.758	1.2329999999999999	0.772
22.17377	0.799	30.541999999999998	1.486	0.973	0.775	1.065	32.381	1.8559999999999999	1.1340000000000001	0.774	1.588	31.534000000000002	1.7619999999999998	1.203	0.7090000000000001
22.34055	0.882	30.144000000000002	1.476	0.992	0.728	0.9840000000000001	32.248000000000005	1.777	1.087	0.99	1.804	30.049	1.7819999999999998	1.256	0.892
22.50718	0.805	30.958000000000002	1.494	1.045	0.715	1.071	31.482	1.764	1.14	0.9109999999999999	1.726	31.028000000000002	1.735	1.21	0.88
22.67392	0.9059999999999999	31.758000000000003	1.695	0.95	0.784	1.14	30.604	1.8	1.275	0.98	1.992	31.467	1.936	1.147	1.015
22.84052	0.8540000000000001	30.237	1.536	1.0590000000000002	0.6970000000000001	0.9540000000000001	32.108000000000004	1.8430000000000002	1.22	0.893	1.806	30.21	2.011	1.3880000000000001	0.96
23.00715	0.961	30.17	1.547	0.97	0.87	1.0290000000000001	32.732	1.952	1.1640000000000001	1.067	1.6840000000000002	32.247	1.956	1.2329999999999999	1.068
23.17387	0.9059999999999999	29.915	1.761	1.147	0.784	0.975	32.808	2.096	1.176	0.914	1.696	33.474000000000004	1.936	1.345	1.015
23.3405	1.045	30.709	1.626	1.02	0.855	1.113	31.299	1.87	1.345	0.887	1.8	31.569000000000003	2.07	1.315	0.888
23.50726	0.9520000000000001	30.401999999999997	1.568	1.0590000000000002	0.6970000000000001	1.119	31.811999999999998	1.745	1.22	0.9590000000000001	1.8719999999999999	30.605	1.945	1.2229999999999999	1.058
23.67398	0.889	31.201	1.5719999999999998	1.062	0.8640000000000001	1.056	30.476	1.847	1.5190000000000001	0.995	1.9080000000000001	31.995	2.0140000000000002	1.5219999999999998	0.996
23.8406	0.98	31.103	1.56	1.053	0.855	1.2109999999999999	31.134	1.936	1.247	1.051	1.899	30.256	2.004	1.315	0.987
24.00731	1.167	31.747	1.6580000000000001	1.177	0.715	1.137	31.021	1.994	1.272	1.0759999999999998	2.187	29.976	2.031	1.2429999999999999	1.012
24.17387	1.045	31.366	1.659	1.1179999999999999	0.888	1.113	32.415	2.0340000000000003	1.214	1.15	1.964	30.781	2.366	1.48	1.085
24.34074	1.092	31.715	1.679	1.068	0.903	1.325	31.253	2.05	1.262	1.067	1.98	32.444	2.3169999999999997	1.43	1.167
24.50722	1.2	30.3	1.757	1.2429999999999999	1.077	1.235	32.6	2.06	1.469	1.175	2.187	31.325	2.426	1.605	1.209
24.67399	1.101	32.044000000000004	1.6580000000000001	1.2429999999999999	0.9129999999999999	1.235	31.811	2.06	1.436	1.109	2.055	31.95	2.229	1.4069999999999998	1.209
24.84073	1.1909999999999998	31.616999999999997	1.778	1.167	0.9690000000000001	1.2590000000000001	31.581	2.248	1.361	1.3619999999999999	2.046	31.885	2.383	1.43	1.265
25.00741	1.2	30.695	1.757	1.177	0.9129999999999999	1.466	32.107	1.994	1.37	1.175	2.088	30.272	2.3930000000000002	1.506	1.341
25.17406	1.2109999999999999	31.725	1.7069999999999999	1.157	1.024	1.379	32.314	2.0069999999999997	1.449	1.121	2.1	32.058	2.3409999999999997	1.5519999999999998	1.189
25.34081	1.203	31.691999999999997	1.892	1.18	1.015	1.469	32.315	2.162	1.374	1.375	2.157	31.072	2.496	1.5090000000000001	1.278
25.50753	1.2	30.859	1.79	1.275	0.9790000000000001	1.367	31.482	1.994	1.469	1.306	2.285	30.634	2.525	1.703	1.209
25.67406	1.194	31.627	1.65	1.2690000000000001	1.005	1.624	31.099	2.086	1.331	1.2670000000000001	2.279	31.304000000000002	2.5839999999999996	1.6969999999999998	1.334
25.84073	1.268	30.276999999999997	1.761	1.246	1.015	1.436	32.117	2.162	1.439	1.276	2.354	31.072	2.496	1.5090000000000001	1.179
26.00747	1.161	30.476	1.7819999999999998	1.236	1.104	1.328	31.493000000000002	2.185	1.43	1.3	2.279	31.337	2.419	1.795	1.203
26.1742	1.26	31.956	1.847	1.368	1.071	1.591	32.743	2.35	1.463	1.3	2.378	31.041	2.617	1.729	1.433
26.34082	1.382	31.101999999999997	1.6380000000000001	1.391	1.094	1.3519999999999999	30.574	2.175	1.5519999999999998	1.258	2.3680000000000003	29.629	2.6719999999999997	1.719	1.325
26.50756	1.2570000000000001	30.729	1.942	1.331	1.002	1.588	33.061	2.248	1.525	1.4609999999999999	2.44	31.819000000000003	2.679	1.726	1.43
26.67423	1.3880000000000001	32.306999999999995	1.975	1.364	1.101	1.325	31.68	2.28	1.525	1.4609999999999999	2.276	30.636	2.613	1.6269999999999998	1.199
26.84092	1.29	31.255	1.876	1.2329999999999999	1.068	1.5219999999999998	31.976	2.083	1.525	1.56	2.374	30.833000000000002	2.7769999999999997	1.693	1.43
27.00749	1.341	32.089	1.758	1.348	1.15	1.605	32.218	2.0669999999999997	1.641	1.5759999999999998	2.556	31.076999999999998	2.661	1.611	1.61
27.17415	1.544	31.42	1.93	1.355	1.157	1.71	31.845	2.468	1.5490000000000002	1.3530000000000002	2.463	30.309	2.701	1.683	1.453
27.34091	1.454	30.565	2.041	1.5619999999999998	1.199	1.719	32.074	2.379	1.624	1.494	2.539	32.148	2.8760000000000003	1.496	1.364
27.50762	1.547	32.614000000000004	1.868	1.456	1.193	1.5819999999999999	32.907	2.241	1.65	1.5859999999999999	2.565	33.605	2.803	1.8840000000000001	1.5219999999999998
27.67425	1.436	31.552	1.819	1.476	1.147	1.766	32.207	2.425	1.605	1.475	2.421	31.362	2.7889999999999997	1.706	1.5090000000000001
